sample_id,source_file,mode,T1_C,t1_s,T2_C,t2_s,total_anneal_time_s,curve_rmse_uW,curve_mae_uW,area_error_J_g,tp_error_C,peak_height_error_uW,actual_area_J_g,pred_area_J_g,actual_tp_C,pred_tp_C,actual_peak_height_uW,pred_peak_height_uW,actual_width_C,pred_width_C,n_points_fit
onestep_70_011,PS-onestep-02.xlsx,single_step,70.0,0.1002,nan,nan,0.1002,42.43906511514062,36.694984457379036,0.22294566689813605,-0.07594751265550315,4.70754056694075,3.980466227288756,4.203411894186893,89.278434753418,89.2024872407625,90.70241483317454,95.4099554001153,9.142549299522614,9.115695732984044,3581
onestep_70_012,PS-onestep-02.xlsx,single_step,70.0,0.4998,nan,nan,0.4998,40.21156284864098,35.180737449691904,0.04728097803147164,-0.011720322928852056,0.25925365144776435,4.020411890143343,4.067692868174816,89.1990127563477,89.18729243341885,92.00238414271206,92.26163779415982,9.090981891886154,9.109274050445903,3582
onestep_70_013,PS-onestep-02.xlsx,single_step,70.0,0.7979999999999999,nan,nan,0.7979999999999999,40.109574617844046,35.14740597106411,0.04330699307655762,-0.10606346214612472,0.5220658396485476,3.996385572104794,4.03969256518135,89.2821273803711,89.17606391822497,91.10265092857622,91.62471676822477,9.141417994835141,9.103595950609892,3582
onestep_70_014,PS-onestep-02.xlsx,single_step,70.0,1.0002,nan,nan,1.0002,40.22693557372957,35.178132791699475,0.06987682519458545,-0.19949068599065356,1.7290820146673838,3.958513783601995,4.02839060879658,89.368782043457,89.16929135746635,89.65007222675263,91.37915424142001,9.20349093223519,9.099781537627717,3581
onestep_70_015,PS-onestep-02.xlsx,single_step,70.0,4.998,nan,nan,4.998,39.0190305772393,34.21805314443916,0.022732708042216606,0.16302593515375463,-0.6584483510558528,3.952399844859449,3.975132552901665,88.9911346435547,89.15416057870846,90.65948353540273,90.00103518434688,8.985043118380734,9.096983807974155,3582
onestep_70_016,PS-onestep-02.xlsx,single_step,70.0,10.020000000000001,nan,nan,10.020000000000001,39.27245837844126,34.277482579329245,0.07535806189045476,0.2194549666134975,0.03619470312214901,3.9124316936549404,3.9877897555453945,88.9232864379883,89.1427414046018,90.14874195503069,90.18493665815284,8.948469644904813,9.094314720045386,3582
onestep_70_017,PS-onestep-02.xlsx,single_step,70.0,49.98,nan,nan,49.98,41.811661287817785,36.17222019723843,0.24882374702600343,-0.1421453426985977,4.4514868796056675,3.9046249522062606,4.153448699232264,89.2310256958008,89.0888803531022,89.2396263521178,93.69111323172346,9.105295894415724,9.07801186737333,3582
onestep_70_018,PS-onestep-02.xlsx,single_step,70.0,100.02,nan,nan,100.02,44.04441672284302,37.87211999252665,0.3594714877586517,-0.7340993893600682,7.723563385199213,3.925046748091648,4.2845182358503,89.7926025390625,89.05850314970243,88.78670452579007,96.51026791098928,9.421640461220319,9.069115987714213,3583
onestep_70_019,PS-onestep-02.xlsx,single_step,70.0,499.98,nan,nan,499.98,49.38445132733495,41.56945615891678,0.6446294244097173,0.10432195006164591,17.348551687622503,3.8675437674761923,4.5121731918859105,88.9256210327148,89.02994298277645,84.10230457813765,101.45085626576015,9.093678260088415,9.064339912344316,3582
onestep_70_020,PS-onestep-02.xlsx,single_step,70.0,1000.0200000000001,nan,nan,1000.0200000000001,49.84431292357882,42.06063038612299,0.5967738558587479,1.0131416177036954,17.268022233466354,3.895053820303101,4.491827676161848,88.0405578613281,89.05369947903179,83.71530502741797,100.98332726088432,8.735563219103788,9.074407432444389,3582
single_eig_01_001,ps-single-01.xlsx,single_step,100.0,300.0,nan,nan,300.0,48.777675260017645,43.23068373038664,-0.05178069113143687,-0.5411129800111638,-1.367448713538863,4.970929109628554,4.919148418497116,89.5351333618164,88.99402038180524,111.38817235805948,110.02072364452061,9.276156333318749,9.04964311005135,3581
single_eig_01_002,ps-single-01.xlsx,single_step,90.0,300.0,nan,nan,300.0,46.32845035131165,41.42075196057131,-1.22264552800204,-0.6389808113886346,-27.48618824525937,5.945983575803299,4.72333804780126,89.6443252563477,89.00534444495906,133.2935592840605,105.80737103880114,9.323085579787755,9.054577195883347,3582
single_eig_01_003,ps-single-01.xlsx,single_step,100.0,30.0,nan,nan,30.0,44.44538727714485,39.84727049768077,-0.36859706143966087,-0.6350530215129453,-7.619663163673081,4.875426343304121,4.50682928186446,89.6821212768555,89.04706825534255,108.89489426274451,101.27523109907143,9.384836309401553,9.051319390711678,3581
