figure,panel,t2_s,t1_s,fit_curve_rank_top_to_bottom,fit_curve_color,delta_h_kj_mol,source_pixel_x,source_pixel_y,source_point_id,source_marker_color,visible_markers_at_t2,assignment_method,note
Fig2,b,5,20.0,8,magenta,0.49438,426.0,382.0,25,blue/purple,4,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,5,50.0,9,blue_star,0.53315,427.0,416.5,26,red/orange,4,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,5,100.0,10,red,0.53315,427.0,416.5,26,red/orange,4,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,10,0.1,1,blue,0.50449,460.0,391.0,27,orange/yellow,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,10,0.2,2,orange,0.50449,460.0,391.0,27,orange/yellow,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,10,0.5,3,light_green,0.50449,460.0,391.0,27,orange/yellow,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,10,1.0,4,lavender,0.50449,460.0,391.0,27,orange/yellow,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,10,2.0,5,peach_orange,0.50449,460.0,391.0,27,orange/yellow,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,10,5.0,6,yellow,0.53708,464.0,420.0,28,red/orange,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,10,10.0,7,yellow_green,0.53708,464.0,420.0,28,red/orange,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,10,20.0,8,magenta,0.53708,464.0,420.0,28,red/orange,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,10,50.0,9,blue_star,0.53708,464.0,420.0,28,red/orange,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,10,100.0,10,red,0.53708,464.0,420.0,28,red/orange,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,20,0.1,1,blue,0.54382,503.0,426.0,30,magenta,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,20,0.2,2,orange,0.54382,503.0,426.0,30,magenta,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,20,0.5,3,light_green,0.54382,503.0,426.0,30,magenta,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
Fig2,b,20,1.0,4,lavender,0.54382,503.0,426.0,30,magenta,2,shared_overlap_visible_markers,overlapped ranks share a visible marker at this t2
