sample_id,source_file,actual_T1_C,pred_T1_C,abs_error_T1_C,actual_t1_s,pred_t1_s,abs_log_error_t1,actual_T2_C,pred_T2_C,abs_error_T2_C,actual_t2_s,pred_t2_s,abs_log_error_t2,target_loss,loss_flatness_ratio,posterior_contains_actual_T1,posterior_contains_actual_T2,posterior_contains_actual_t1,posterior_contains_actual_t2,posterior_width_T1_C,posterior_width_T2_C,posterior_width_log10_t1_s,posterior_width_log10_t2_s,posterior_confidence_T1,posterior_confidence_T2,posterior_confidence_t1,posterior_confidence_t2,overall_posterior_confidence,actual_delta_h_total_J_g,reconstructed_pred_delta_h_total_J_g,actual_peak_area_J_g,reconstructed_pred_peak_area_J_g,actual_recovery_index,reconstructed_pred_recovery_index,actual_path_dependence_index,reconstructed_pred_path_dependence_index
kovacs_80_to_90_011,pskovacs.xlsx,80.0,55.0,25.0,499.98,1800.0,0.556319872894008,90.0,50.0,40.0,0.1002,10.0,1.999132278468773,31.95451096658518,0.06954031764541112,True,False,True,False,37.5,10.0,2.255272505103306,2.255272505103306,low,medium,low,low,low,-4.8964971036279055,2.0385852739789048,-3.5211669206730996,1.5027191192184104,0.8119120327586635,0.7388072122779694,-0.2982679832028463,-1.2271872897811926
kovacs_80_to_90_012,pskovacs.xlsx,80.0,55.0,25.0,499.98,1800.0,0.556319872894008,90.0,50.0,40.0,0.4998,10.0,1.3012037482095686,31.60917803928015,0.07064262666306027,True,False,True,False,35.0,10.0,2.255272505103306,2.255272505103306,low,medium,low,low,low,-4.8113783478052925,2.0385852739789048,-3.4639140951336085,1.5027191192184104,0.7977980772914741,0.7388072122779694,-0.28189072630098444,-1.2271872897811926
kovacs_80_to_90_013,pskovacs.xlsx,80.0,100.0,20.0,499.98,900.0,0.2552898772300267,90.0,100.0,10.0,0.7979999999999999,1800.0,3.353269613752577,17.955323133146745,1.4359339032041323,True,True,True,False,45.0,50.0,1.7781512503836436,1.4771212547196624,low,low,low,low,low,-4.789426096507734,-1.2731211056735905,-3.448128699996475,-0.4762487592595228,0.7941580675871033,1.7439555147182269,-7.852923821578928,-7.780028593258705
kovacs_80_to_90_014,pskovacs.xlsx,80.0,100.0,20.0,499.98,900.0,0.2552898772300267,90.0,100.0,10.0,1.0002,1800.0,3.255185654891657,18.141849785706402,1.4216347277730839,True,True,True,False,45.0,50.0,1.7781512503836436,1.4771212547196624,low,low,low,low,low,-4.818863245675767,-1.2731211056735905,-3.4720253322621994,-0.4762487592595228,0.7990391846619872,1.7439555147182269,-7.882360970746962,-7.780028593258705
kovacs_80_to_90_015,pskovacs.xlsx,80.0,100.0,20.0,499.98,900.0,0.2552898772300267,90.0,100.0,10.0,4.998,1800.0,2.5564762533128746,18.087001129796153,1.425699022802999,True,True,True,False,45.0,50.0,1.7781512503836436,1.4771212547196624,low,low,low,low,low,-4.8107870486415205,-1.2731211056735905,-3.463999462084396,-0.4762487592595228,0.7977000310972528,1.7439555147182269,-7.874284773712715,-7.780028593258705
kovacs_80_to_90_016,pskovacs.xlsx,80.0,100.0,20.0,499.98,900.0,0.2552898772300267,90.0,100.0,10.0,10.020000000000001,1800.0,2.2544047835720793,17.953038246481785,1.4361145596507539,True,True,True,False,45.0,50.0,1.7781512503836436,1.4771212547196624,low,low,low,low,low,-4.787801117159873,-1.2731211056735905,-3.450014243641569,-0.4762487592595228,0.7938886218470996,1.7439555147182269,-7.851298842231067,-7.780028593258705
kovacs_80_to_90_017,pskovacs.xlsx,80.0,100.0,20.0,499.98,900.0,0.2552898772300267,90.0,100.0,10.0,49.98,1800.0,1.5564762533128749,17.867405639718935,1.442546539180512,True,True,True,False,45.0,50.0,1.7781512503836436,1.4771212547196624,low,low,low,low,low,-4.772259396579583,-1.2731211056735905,-3.4425363230775243,-0.4762487592595228,0.7913115734629474,1.7439555147182269,-7.8357571216507775,-7.780028593258705
kovacs_80_to_90_018,pskovacs.xlsx,80.0,100.0,20.0,499.98,1800.0,0.556319872894008,90.0,100.0,10.0,100.02,1800.0,1.255185654891657,20.584534803398075,0.9529895541249697,True,True,True,True,45.0,50.0,1.7781512503836436,1.4771212547196624,low,low,low,low,low,-4.796094411763101,-1.3392811885158933,-3.46979745348967,-0.5013106842548609,0.7952637734171034,1.8062691939317927,-6.122236424324202,-7.483648802565106
kovacs_80_to_90_019,pskovacs.xlsx,80.0,100.0,20.0,499.98,900.0,0.2552898772300267,90.0,100.0,10.0,499.98,1800.0,0.556319872894008,19.30369130058126,1.3380195596817024,True,True,True,True,45.0,50.0,1.7781512503836436,1.4771212547196624,low,low,low,low,low,-4.894800641933696,-1.2731211056735905,-3.6817342183438413,-0.4762487592595228,0.8116307341826626,1.7439555147182269,-8.10734259869595,-7.780028593258705
kovacs_80_to_90_020,pskovacs.xlsx,80.0,100.0,20.0,499.98,1200.0,0.3802286138383266,90.0,100.0,10.0,1000.0200000000001,1800.0,0.25526381930052544,18.741588323940757,1.3786952133051598,True,True,True,True,45.0,50.0,1.7781512503836436,1.4771212547196624,low,low,low,low,low,-4.954935053320618,-1.325343859169335,-3.7224613361444394,-0.5025356105989314,0.821601913814675,1.771861017839846,-7.719530623212568,-7.703195814577292
twostep_90_to_80_001,twosteps.xlsx,90.0,55.0,35.0,49.98,1800.0,1.5564762533128749,80.0,50.0,30.0,0.1002,10.0,1.999132278468773,30.395376278847,0.06901230078377302,True,True,True,False,45.0,30.0,2.255272505103306,2.255272505103306,low,low,low,low,low,-4.1290900364236975,2.0385852739789048,-2.9000222452843034,1.5027191192184104,1.0,0.7388072122779694,0.4691390840013616,-1.2271872897811926
twostep_90_to_80_002,twosteps.xlsx,90.0,55.0,35.0,49.98,1800.0,1.5564762533128749,80.0,50.0,30.0,0.4998,10.0,1.3012037482095686,30.175289350146674,0.06993475957091963,True,False,True,False,45.0,10.0,2.255272505103306,2.255272505103306,low,medium,low,low,low,-4.099453333050906,2.0385852739789048,-2.878996532574526,1.5027191192184104,0.9928224613386101,0.7388072122779694,0.43003428845340164,-1.2271872897811926
twostep_90_to_80_003,twosteps.xlsx,90.0,55.0,35.0,49.98,1800.0,1.5564762533128749,80.0,50.0,30.0,0.7979999999999999,10.0,1.0979971086492706,29.571169644530805,0.0723140164088392,True,False,True,False,45.0,10.0,2.255272505103306,2.255272505103306,low,medium,low,low,low,-4.0235137471319,2.0385852739789048,-2.822071548277351,1.5027191192184104,0.974431100227778,0.7388072122779694,0.31420740290586746,-1.2271872897811926
twostep_90_to_80_004,twosteps.xlsx,90.0,55.0,35.0,49.98,1800.0,1.5564762533128749,80.0,50.0,30.0,1.0002,10.0,0.9999131497883511,28.913123862816352,0.07407566948308313,True,False,True,False,45.0,10.0,2.255272505103306,2.255272505103306,low,medium,low,low,low,-3.904258944764556,2.0385852739789048,-2.7386894508424016,1.5027191192184104,0.9455494819255932,0.7388072122779694,0.26461500208742983,-1.2271872897811926
twostep_90_to_80_005,twosteps.xlsx,90.0,55.0,35.0,49.98,1800.0,1.5564762533128749,80.0,50.0,30.0,4.998,10.0,0.30120374820956874,27.784300257012404,0.07825998187487941,True,False,True,False,40.0,10.0,2.255272505103306,2.255272505103306,low,medium,low,low,low,-3.8132686006701726,2.0385852739789048,-2.6743836835646224,1.5027191192184104,0.9235130663251254,0.7388072122779694,-0.07323586257149373,-1.2271872897811926
twostep_90_to_80_006,twosteps.xlsx,90.0,100.0,10.0,49.98,1800.0,1.5564762533128749,80.0,100.0,20.0,10.020000000000001,1800.0,2.2544047835720793,14.87939693168546,1.4070915643691395,True,True,True,False,45.0,50.0,1.7781512503836436,1.4771212547196624,low,low,low,low,low,-3.6792346684639896,-1.3392811885158933,-2.5752124396803264,-0.5013106842548609,0.8910521776005306,1.8062691939317927,-6.370338170869369,-7.483648802565106
twostep_90_to_80_007,twosteps.xlsx,90.0,100.0,10.0,49.98,1800.0,1.5564762533128749,80.0,100.0,20.0,49.98,1800.0,1.5564762533128749,14.899717442571543,1.40344611559174,True,True,True,False,45.0,50.0,1.7781512503836436,1.4771212547196624,low,low,low,low,low,-3.67406305383032,-1.3392811885158933,-2.583367591211802,-0.5013106842548609,0.8897996947076777,1.8062691939317927,-6.365166556235699,-7.483648802565106
twostep_90_to_80_008,twosteps.xlsx,90.0,100.0,10.0,49.98,1800.0,1.5564762533128749,80.0,100.0,20.0,100.02,1800.0,1.255185654891657,14.833171846608783,1.3955733029987016,True,True,True,True,45.0,50.0,1.7781512503836436,1.4771212547196624,low,low,low,low,low,-3.63166557753634,-1.3392811885158933,-2.5569702688037768,-0.5013106842548609,0.8795316995998013,1.8062691939317927,-6.322769079941718,-7.483648802565106
twostep_90_to_80_009,twosteps.xlsx,90.0,100.0,10.0,49.98,1800.0,1.5564762533128749,80.0,100.0,20.0,499.98,1800.0,0.556319872894008,15.611402958651718,1.3183210370056062,True,True,True,True,45.0,50.0,1.7781512503836436,1.4771212547196624,low,low,low,low,low,-3.7678117838667586,-1.3392811885158933,-2.7082711414815526,-0.5013106842548609,0.9125041475555107,1.8062691939317927,-6.2677766826063745,-7.483648802565106
twostep_90_to_80_010,twosteps.xlsx,90.0,100.0,10.0,49.98,1800.0,1.5564762533128749,80.0,100.0,20.0,1000.0200000000001,1800.0,0.25526381930052544,16.319462342824224,1.224997556637124,True,True,True,True,45.0,50.0,1.7781512503836436,1.4771212547196624,low,low,low,low,low,-3.843991026148135,-1.3392811885158933,-2.7990458338623303,-0.5013106842548609,0.9309535496294256,1.8062691939317927,-6.113493378139026,-7.483648802565106
twostep_90_to_80_011,twosteps.xlsx,90.0,90.0,0.0,499.98,10.0,1.698952632209298,80.0,50.0,30.0,0.1002,1800.0,4.254404783572079,29.67826833047073,0.0689575676146617,True,False,True,False,50.0,10.0,2.255272505103306,2.255272505103306,low,medium,low,low,low,-3.7281025362637803,3.1914116537911124,-2.749233454587868,2.180610232894894,0.9028871987235177,0.9297163961260297,0.8701265841612789,0.8652505965025253
twostep_90_to_80_012,twosteps.xlsx,90.0,55.0,35.0,499.98,1800.0,0.556319872894008,80.0,50.0,30.0,0.4998,10.0,1.3012037482095686,29.509564346601362,0.06933311050684447,True,False,True,False,50.0,10.0,2.255272505103306,2.255272505103306,low,medium,low,low,low,-3.7063905603652305,2.0385852739789048,-2.741679365402452,1.5027191192184104,0.8976289031409503,0.7388072122779694,0.8230970611390775,-1.2271872897811926
twostep_90_to_80_013,twosteps.xlsx,90.0,55.0,35.0,499.98,1800.0,0.556319872894008,80.0,50.0,30.0,0.7979999999999999,10.0,1.0979971086492706,29.077353379015367,0.0716918764893859,True,False,True,False,50.0,10.0,2.255272505103306,2.255272505103306,low,medium,low,low,low,-3.6974166934280386,2.0385852739789048,-2.731544901071068,1.5027191192184104,0.8954555751539045,0.7388072122779694,0.6403044566097287,-1.2271872897811926
