sample_id,source_file,split,mode,T1_C,t1_s,T2_C,t2_s,T1_bin,t1_bin,actual_delta_h_total_J_g,pred_delta_h_total_J_g,error_delta_h_total_J_g,abs_error_delta_h_total_J_g,actual_peak_area_J_g,pred_peak_area_J_g,error_peak_area_J_g,abs_error_peak_area_J_g,actual_recovery_index,pred_recovery_index,error_recovery_index,abs_error_recovery_index,actual_path_dependence_index,pred_path_dependence_index,error_path_dependence_index,abs_error_path_dependence_index
kovacs_eig_01_002,ps-kovacs-01.xlsx,train,two_step,65.0,10.000020000000001,100.0,1200.0,65-75 C,10-100 s,-1.0348745117784686,-1.070715657914752,-0.03584114613628353,0.03584114613628353,-1.8937568826751487,-1.8896157178009132,0.004141164874235548,0.004141164874235548,0.8182921801359746,0.8614392037058949,0.043147023569920284,0.043147023569920284,0.12552056133551504,0.0139156413294379,-0.11160492000607714,0.11160492000607714
kovacs_eig_01_003,ps-kovacs-01.xlsx,train,two_step,50.0,10.000020000000001,80.0,1800.0,50-60 C,10-100 s,-1.3494640141366285,-1.3965942845591561,-0.0471302704225276,0.0471302704225276,-2.0965362600141484,-2.1250107393948285,-0.02847447938068015,0.02847447938068015,1.0,0.9879826469237036,-0.012017353076296367,0.012017353076296367,-0.22395717867362253,-0.2831563474759446,-0.059199168802322066,0.059199168802322066
kovacs_eig_01_004,ps-kovacs-01.xlsx,train,two_step,50.0,10.000020000000001,100.0,10.000020000000001,50-60 C,10-100 s,-0.9448983335947144,-0.7331291295648618,0.21176920402985266,0.21176920402985266,-1.733195786910836,-1.5975110485987398,0.13568473831209626,0.13568473831209626,0.7002026906210237,0.5827488956241087,-0.117453794996915,0.117453794996915,-0.2397959967216231,0.03880695579894147,0.27860295252056455,0.27860295252056455
kovacs_eig_01_005,ps-kovacs-01.xlsx,train,two_step,50.0,1800.0,100.0,10.000020000000001,50-60 C,>600 s,-1.0979280042202304,-1.0697664244131082,0.028161579807122195,0.028161579807122195,-1.817888413755372,-1.7979925587378855,0.019895855017486364,0.019895855017486364,0.8136030251408164,0.7766226710410687,-0.03698035409974765,0.03698035409974765,-0.3928256673471391,-0.38661549511213267,0.006210172235006417,0.006210172235006417
kovacs_eig_01_006,ps-kovacs-01.xlsx,train,two_step,55.0,600.0,90.0,300.0,50-60 C,100-600 s,-1.1977614957632745,-1.171549483419047,0.026212012344227542,0.026212012344227542,-1.9082959692093322,-1.9054827053295664,0.0028132638797657705,0.0028132638797657705,1.0,0.9111073449721157,-0.08889265502788435,0.08889265502788435,-0.18880620872089904,-0.22787837661385058,-0.03907216789295154,0.03907216789295154
kovacs_eig_01_007,ps-kovacs-01.xlsx,train,two_step,50.0,10.000020000000001,70.0,1800.0,50-60 C,10-100 s,-1.193298130178259,-1.0898283895309344,0.10346974064732462,0.10346974064732462,-1.9742909268451183,-1.8624225458782246,0.11186838096689367,0.11186838096689367,0.8842756217858224,0.8080431279853284,-0.07623249380049402,0.07623249380049402,-0.06779129471525303,-0.020871497899234308,0.04691979681601872,0.04691979681601872
kovacs_eig_01_008,ps-kovacs-01.xlsx,train,two_step,50.0,10.000020000000001,100.0,1800.0,50-60 C,10-100 s,-0.9209352116157631,-1.0657011169281478,-0.14476590531238476,0.14476590531238476,-1.8161675737894751,-1.9029884940543653,-0.08682092026489019,0.08682092026489019,0.6824451796922993,0.8777087792814166,0.1952635995891172,0.1952635995891172,0.23945986149822052,0.11923796301178644,-0.12022189848643408,0.12022189848643408
kovacs_eig_01_009,ps-kovacs-01.xlsx,train,two_step,50.0,10.000020000000001,85.0,60.0,50-60 C,10-100 s,-0.7478574994172109,-0.8319684795911506,-0.0841109801739397,0.0841109801739397,-1.6315597342153063,-1.6750651268991485,-0.04350539268384224,0.04350539268384224,0.5541885456617245,0.6190614181514075,0.06487287248968299,0.06487287248968299,-0.03052327631189189,-0.012362650453875593,0.018160625858016297,0.018160625858016297
kovacs_eig_01_010,ps-kovacs-01.xlsx,test,two_step,75.0,10.000020000000001,100.0,1800.0,65-75 C,10-100 s,-1.0508807941658473,-1.0868869876398013,-0.03600619347395395,0.03600619347395395,-1.9177149893321301,-1.9177476478381679,-3.265850603773046e-05,3.265850603773046e-05,1.0,0.8693056018389818,-0.13069439816101824,0.13069439816101824,0.10951427894813626,0.04225255997427298,-0.06726171897386328,0.06726171897386328
kovacs_eig_03_001,ps-kovacs-03.xlsx,train,two_step,50.0,10.000020000000001,65.0,1200.0,50-60 C,10-100 s,-0.9766531124625322,-1.0031101529565054,-0.02645704049397324,0.02645704049397324,-1.756735708550484,-1.7884692069632393,-0.0317334984127553,0.0317334984127553,0.7237340916329537,0.748251729617683,0.02451763798472939,0.02451763798472939,0.14885372300047384,0.011095920625722788,-0.13775780237475105,0.13775780237475105
kovacs_eig_03_002,ps-kovacs-03.xlsx,train,two_step,50.0,10.000020000000001,75.0,10.000020000000001,50-60 C,10-100 s,-0.7054400065972599,-0.6648508843500693,0.04058912224719058,0.04058912224719058,-1.5364627714938504,-1.5710847906680554,-0.03462201917420504,0.03462201917420504,0.5227557009355246,0.4528825008105688,-0.06987320012495579,0.06987320012495579,-0.0010349900609126772,0.04929406747525637,0.05032905753616905,0.05032905753616905
kovacs_eig_03_003,ps-kovacs-03.xlsx,train,two_step,65.0,10.000020000000001,65.0,1800.0,65-75 C,10-100 s,-1.2282772065476173,-1.0683205557634063,0.15995665078421095,0.15995665078421095,-1.9072257866189468,-1.8200215742097983,0.08720421240914855,0.08720421240914855,0.9712188499356239,0.7848372501064752,-0.1863815998291487,0.1863815998291487,-0.10277037108461129,-0.08237681352279973,0.020393557561811562,0.020393557561811562
kovacs_eig_03_004,ps-kovacs-03.xlsx,train,two_step,85.0,10.000020000000001,100.0,1200.0,80-90 C,10-100 s,-1.134523977976264,-1.0250130109402051,0.10951096703605878,0.10951096703605878,-1.9859282590715772,-1.936686374020245,0.04924188505133231,0.04924188505133231,1.0,0.8079202260793905,-0.1920797739206095,0.1920797739206095,0.02587109513771968,0.1500218465953272,0.12415075145760751,0.12415075145760751
kovacs_eig_04_001,ps-kovacs-04.xlsx,test,two_step,75.0,10.000020000000001,100.0,10.000020000000001,65-75 C,10-100 s,-0.9057661155393337,-0.7283514837136864,0.17741463182564732,0.17741463182564732,-1.7311784953547902,-1.6022758701007218,0.12890262525406837,0.12890262525406837,0.8619113800231732,0.5317852150226146,-0.3301261650005587,0.3301261650005587,-0.2006637786662424,0.013859263045753953,0.21452304171199638,0.21452304171199638
kovacs_eig_04_002,ps-kovacs-04.xlsx,test,two_step,50.0,100.0002,70.0,60.0,50-60 C,100-600 s,-0.7669461678755922,-0.6790138521124003,0.08793231576319194,0.08793231576319194,-1.6111502049293611,-1.5920370445345664,0.019113160394794715,0.019113160394794715,0.5683339161632076,0.45209763835306205,-0.11623627781014556,0.11623627781014556,0.07250366069395331,0.08650775462705809,0.014004093933104783,0.014004093933104783
kovacs_eig_04_003,ps-kovacs-04.xlsx,test,two_step,65.0,10.000020000000001,85.0,600.0,65-75 C,10-100 s,-1.2646760373617463,-1.2464221070666521,0.018253930295094145,0.018253930295094145,-1.984249498035962,-1.9940847916289428,-0.009835293592980854,0.009835293592980854,1.0,0.8804505389528086,-0.11954946104719144,0.11954946104719144,-0.2557207503193708,-0.278309357968918,-0.022588607649547177,0.022588607649547177
kovacs_eig_04_004,ps-kovacs-04.xlsx,test,two_step,50.0,10.000020000000001,70.0,300.0,50-60 C,10-100 s,-0.7373120583218562,-0.9121315451392732,-0.174819486817417,0.174819486817417,-1.6103018579761605,-1.7226788329893876,-0.11237697501322708,0.11237697501322708,0.5463740052331666,0.6727534251204307,0.1263794198872641,0.1263794198872641,-0.00018221590335865123,-0.014961851974913933,-0.014779636071555281,0.014779636071555281
hs_01_001,ps-hs-01.xlsx,train,single_step,70.0,300.0,nan,nan,65-75 C,100-600 s,-0.7371298424184975,-0.8226008162083589,-0.08547097378986135,0.08547097378986135,-1.5839754244554178,-1.6398782470276356,-0.05590282257221779,0.05590282257221779,0.5802765725483847,0.6798563668482599,0.09957979429987518,0.09957979429987518,0.0,0.04908212878544284,0.04908212878544284,0.04908212878544284
hs_01_002,ps-hs-01.xlsx,train,single_step,90.0,100.0002,nan,nan,80-90 C,100-600 s,-0.717334223105319,-0.9102218402531161,-0.19288761714779712,0.19288761714779712,-1.623783110080123,-1.724799447628041,-0.10101633754791806,0.10101633754791806,0.7109673067952231,0.7544848801722248,0.043517573377001684,0.043517573377001684,0.0,-0.04465712765191434,-0.04465712765191434,0.04465712765191434
hs_01_003,ps-hs-01.xlsx,train,single_step,95.0,100.02,nan,nan,95-100 C,100-600 s,-0.7498996205467738,-0.9599109824521862,-0.21001136190541236,0.21001136190541236,-1.638982053254778,-1.7866105377150436,-0.14762848446026555,0.14762848446026555,0.6861304583310615,0.8064156376294698,0.12028517929840832,0.12028517929840832,0.0,-0.060822030257766196,-0.060822030257766196,0.060822030257766196
kovacs_80_to_90_001,pskovacs.xlsx,train,two_step,80.0,49.98,90.0,0.1002,80-90 C,10-100 s,-0.43107793286096485,-0.4904550245465822,-0.059377091685617334,0.059377091685617334,-1.4669738389378029,-1.4737096444097264,-0.006735805471923539,0.006735805471923539,0.27370844782473325,0.32553602709684787,0.05182757927211462,0.05182757927211462,0.36561557880027207,0.14539491683614056,-0.2202206619641315,0.2202206619641315
kovacs_80_to_90_002,pskovacs.xlsx,train,two_step,80.0,49.98,90.0,0.4998,80-90 C,10-100 s,-0.5004594241511179,-0.5741901854527744,-0.07373076130165657,0.07373076130165657,-1.459166987230859,-1.5177866461815006,-0.058619658950641584,0.058619658950641584,0.3177615037600227,0.40676578773247923,0.08900428397245652,0.08900428397245652,0.12390359991353961,0.10256323389023855,-0.021340366023301055,0.021340366023301055
kovacs_80_to_90_003,pskovacs.xlsx,train,two_step,80.0,49.98,90.0,0.7979999999999999,80-90 C,10-100 s,-0.47254776430390805,-0.5960044669508662,-0.12345670264695813,0.12345670264695813,-1.4915875845343378,-1.5299608954731765,-0.03837331093883867,0.03837331093883867,0.30003928577895117,0.42495402571380075,0.12491473993484958,0.12491473993484958,0.15943562997934274,0.09054603688772547,-0.06888959309161727,0.06888959309161727
kovacs_80_to_90_004,pskovacs.xlsx,train,two_step,80.0,49.98,90.0,1.0002,80-90 C,10-100 s,-0.505291845320093,-0.6059008013571048,-0.10060895603701181,0.10060895603701181,-1.5075823210034065,-1.5356614937347193,-0.028079172731312774,0.028079172731312774,0.32082979929678856,0.4324059902924708,0.11157619099568222,0.11157619099568222,0.21204237778522605,0.08488360419700688,-0.12715877358821917,0.12715877358821917
kovacs_80_to_90_005,pskovacs.xlsx,train,two_step,80.0,49.98,90.0,4.998,80-90 C,10-100 s,-0.555097865261066,-0.6616161615487396,-0.10651829628767362,0.10651829628767362,-1.5044589498514893,-1.5709320657130703,-0.066473115861581,0.066473115861581,0.3524536133943853,0.456500153583121,0.10404654018873571,0.10404654018873571,0.16223635784425305,0.05018911581031238,-0.11204724203394067,0.11204724203394067
kovacs_80_to_90_006,pskovacs.xlsx,train,two_step,80.0,49.98,90.0,10.020000000000001,80-90 C,10-100 s,-0.5759058693140657,-0.6888273247465859,-0.11292145543252019,0.11292145543252019,-1.5606705424498715,-1.5911705094835549,-0.030499967033683406,0.030499967033683406,0.3656654390470666,0.465509157102745,0.09984371805567838,0.09984371805567838,0.1414283537912533,0.033235503567720634,-0.10819285022353266,0.10819285022353266
kovacs_80_to_90_007,pskovacs.xlsx,train,two_step,80.0,49.98,90.0,49.98,80-90 C,10-100 s,-0.6829876298758301,-0.8037452398842877,-0.12075761000845764,0.12075761000845764,-1.61894611004148,-1.677823454321329,-0.05887734427984914,0.05887734427984914,0.43365588866062477,0.5419863963210967,0.10833050766047192,0.10833050766047192,0.034346593229488964,-0.02431823077769292,-0.058664824007181884,0.058664824007181884
kovacs_80_to_90_008,pskovacs.xlsx,train,two_step,80.0,49.98,90.0,100.02,80-90 C,10-100 s,-0.7395259120880413,-0.8886615480771801,-0.14913563598913882,0.14913563598913882,-1.6663848600965965,-1.7446217282904202,-0.0782368681938237,0.0782368681938237,0.4695542826337911,0.6042257333121822,0.1346714506783911,0.1346714506783911,-0.02219168898272228,-0.06528187161987929,-0.04309018263715701,0.04309018263715701
kovacs_80_to_90_009,pskovacs.xlsx,train,two_step,80.0,49.98,90.0,499.98,80-90 C,10-100 s,-1.1409172062672797,-1.2261451412002033,-0.08522793493292369,0.08522793493292369,-1.9706512586640845,-2.0369442788295875,-0.06629302016550298,0.06629302016550298,0.7244135081362819,0.8207066773026456,0.09629316916636366,0.09629316916636366,-0.1319619192249042,-0.25417898318536924,-0.12221706396046506,0.12221706396046506
kovacs_80_to_90_010,pskovacs.xlsx,train,two_step,80.0,49.98,90.0,1000.0200000000001,80-90 C,10-100 s,-1.4520779412940008,-1.4165422332137743,0.03553570808022655,0.03553570808022655,-2.260744052237382,-2.213525017489525,0.047219034747856714,0.047219034747856714,0.9219817790123416,0.9345889823740847,0.012607203361743147,0.012607203361743147,-0.44312265425162534,-0.36137996097209146,0.08174269327953387,0.08174269327953387
kovacs_80_to_90_011,pskovacs.xlsx,train,two_step,80.0,499.98,90.0,0.1002,80-90 C,100-600 s,-0.8672824372822605,-0.7906324337091027,0.07665000357315777,0.07665000357315777,-1.7983458825121397,-1.75833697194279,0.04000891056934974,0.04000891056934974,0.5506719589163982,0.46401444771848266,-0.08665751119791554,0.08665751119791554,-0.07058892562102359,-0.16230621130462403,-0.09171728568360044,0.09171728568360044
