grouping,group,n,n_train,n_test,delta_h_total_J_g_MAE,delta_h_total_J_g_RMSE,delta_h_total_J_g_Bias,delta_h_total_J_g_actual_std,peak_area_J_g_MAE,peak_area_J_g_RMSE,peak_area_J_g_Bias,peak_area_J_g_actual_std,recovery_index_MAE,recovery_index_RMSE,recovery_index_Bias,recovery_index_actual_std,path_dependence_index_MAE,path_dependence_index_RMSE,path_dependence_index_Bias,path_dependence_index_actual_std
exact_condition,two_step|T1=50.0|t1=1800.0|T2=100.0|t2=10.000020000000001,1,1,0,0.05521244054627594,0.05521244054627594,-0.05521244054627594,0.0,0.08867574148232471,0.08867574148232471,-0.08867574148232471,0.0,0.022649145296693485,0.022649145296693485,0.022649145296693485,0.0,0.03120312077520626,0.03120312077520626,-0.03120312077520626,0.0
exact_condition,two_step|T1=55.0|t1=600.0|T2=90.0|t2=300.0,1,1,0,0.1444488854299355,0.1444488854299355,0.1444488854299355,0.0,0.09652442061733546,0.09652442061733546,0.09652442061733546,0.0,0.23425838262223297,0.23425838262223297,-0.23425838262223297,0.0,0.025568034687152352,0.025568034687152352,-0.025568034687152352,0.0
exact_condition,two_step|T1=65.0|t1=10.000020000000001|T2=100.0|t2=1200.0,1,1,0,0.02666727246311762,0.02666727246311762,-0.02666727246311762,0.0,0.0007639568502737504,0.0007639568502737504,0.0007639568502737504,0.0,0.04562361196676201,0.04562361196676201,0.04562361196676201,0.0,0.08007414461629309,0.08007414461629309,-0.08007414461629309,0.0
exact_condition,two_step|T1=65.0|t1=10.000020000000001|T2=65.0|t2=1800.0,1,1,0,0.08464808439542226,0.08464808439542226,0.08464808439542226,0.0,0.02758960174555769,0.02758960174555769,0.02758960174555769,0.0,0.11814286412847219,0.11814286412847219,-0.11814286412847219,0.0,0.02063807353186206,0.02063807353186206,-0.02063807353186206,0.0
exact_condition,two_step|T1=65.0|t1=10.000020000000001|T2=85.0|t2=600.0,1,0,1,0.21368239560841085,0.21368239560841085,0.21368239560841085,0.0,0.13362054532036471,0.13362054532036471,0.13362054532036471,0.0,0.2175843607592498,0.2175843607592498,-0.2175843607592498,0.0,0.20449047001067677,0.20449047001067677,0.20449047001067677,0.0
exact_condition,two_step|T1=75.0|t1=10.000020000000001|T2=100.0|t2=10.000020000000001,1,0,1,0.05742852728334413,0.05742852728334413,0.05742852728334413,0.0,0.04132360380774602,0.04132360380774602,0.04132360380774602,0.0,0.27666303494112177,0.27666303494112177,-0.27666303494112177,0.0,0.09258202654052833,0.09258202654052833,0.09258202654052833,0.0
exact_condition,two_step|T1=75.0|t1=10.000020000000001|T2=100.0|t2=1800.0,1,0,1,0.08336898192659437,0.08336898192659437,-0.08336898192659437,0.0,0.04901850012623665,0.04901850012623665,-0.04901850012623665,0.0,0.10270847937730909,0.10270847937730909,-0.10270847937730909,0.0,0.09635930573570534,0.09635930573570534,-0.09635930573570534,0.0
exact_condition,two_step|T1=80.0|t1=49.98|T2=90.0|t2=0.1002,1,1,0,0.07998832663817579,0.07998832663817579,-0.07998832663817579,0.0,0.010221608355466039,0.010221608355466039,-0.010221608355466039,0.0,0.07066095904738301,0.07066095904738301,0.07066095904738301,0.0,0.2875090448128322,0.2875090448128322,-0.2875090448128322,0.0
exact_condition,two_step|T1=80.0|t1=49.98|T2=90.0|t2=0.4998,1,1,0,0.08550262066638081,0.08550262066638081,-0.08550262066638081,0.0,0.06868829501034646,0.06868829501034646,-0.06868829501034646,0.0,0.08102543682130847,0.08102543682130847,0.08102543682130847,0.0,0.07006239127166537,0.07006239127166537,-0.07006239127166537,0.0
exact_condition,two_step|T1=80.0|t1=49.98|T2=90.0|t2=0.7979999999999999,1,1,0,0.12819436460133277,0.12819436460133277,-0.12819436460133277,0.0,0.04684961748931138,0.04684961748931138,-0.04684961748931138,0.0,0.10670523770529872,0.10670523770529872,0.10670523770529872,0.0,0.10722456875999228,0.10722456875999228,-0.10722456875999228,0.0
exact_condition,two_step|T1=80.0|t1=49.98|T2=90.0|t2=1.0002,1,1,0,0.10108031122171601,0.10108031122171601,-0.10108031122171601,0.0,0.03499632929594476,0.03499632929594476,-0.03499632929594476,0.0,0.08828252726624986,0.08828252726624986,0.08828252726624986,0.0,0.15933803105511635,0.15933803105511635,-0.15933803105511635,0.0
exact_condition,two_step|T1=80.0|t1=49.98|T2=90.0|t2=10.020000000000001,1,1,0,0.11571769394978282,0.11571769394978282,-0.11571769394978282,0.0,0.04299584367338838,0.04299584367338838,-0.04299584367338838,0.0,0.08582088533115084,0.08582088533115084,0.08582088533115084,0.0,0.11060433253588979,0.11060433253588979,-0.11060433253588979,0.0
exact_condition,two_step|T1=80.0|t1=49.98|T2=90.0|t2=100.02,1,1,0,0.11588386705863696,0.11588386705863696,-0.11588386705863696,0.0,0.06017608373023475,0.06017608373023475,-0.06017608373023475,0.0,0.1000707987564931,0.1000707987564931,0.1000707987564931,0.0,0.0067711069424690185,0.0067711069424690185,-0.0067711069424690185,0.0
exact_condition,two_step|T1=80.0|t1=49.98|T2=90.0|t2=1000.0200000000001,1,1,0,0.35957229160115767,0.35957229160115767,0.35957229160115767,0.0,0.31641488562937714,0.31641488562937714,0.31641488562937714,0.0,0.16469910429043988,0.16469910429043988,-0.16469910429043988,0.0,0.3707270317677238,0.3707270317677238,0.3707270317677238,0.0
exact_condition,two_step|T1=80.0|t1=49.98|T2=90.0|t2=4.998,1,1,0,0.09269969034048886,0.09269969034048886,-0.09269969034048886,0.0,0.06861489747351768,0.06861489747351768,-0.06861489747351768,0.0,0.07182025051935692,0.07182025051935692,0.07182025051935692,0.0,0.10838345912453622,0.10838345912453622,-0.10838345912453622,0.0
exact_condition,two_step|T1=80.0|t1=49.98|T2=90.0|t2=49.98,1,1,0,0.11883023000324977,0.11883023000324977,-0.11883023000324977,0.0,0.0643290894073234,0.0643290894073234,-0.0643290894073234,0.0,0.0949639299647681,0.0949639299647681,0.0949639299647681,0.0,0.04923883065148223,0.04923883065148223,-0.04923883065148223,0.0
