T1_K,T2_K,actual_t1_s,actual_t2_s,loss,panel,pred_t2_s,source,t2_factor_error,t2_log10_abs_error,targets,top1_near_factor3,variant
348.0,383.0,5.0,50.0,0.12281241546055333,a,50.0,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,10.0,50.0,0.12360493489414345,a,50.0,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,20.0,50.0,0.11941927292309909,a,50.0,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,50.0,50.0,0.11751512156519613,a,50.0,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,100.0,50.0,0.11959449133650842,a,50.0,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,0.1,100.0,0.10861936601750649,a,500.0,paper,5.0,0.6989700043360189,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
348.0,383.0,0.2,100.0,0.10862739457094903,a,500.0,paper,5.0,0.6989700043360189,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
348.0,383.0,0.5,100.0,0.10918325954444442,a,500.0,paper,5.0,0.6989700043360189,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
348.0,383.0,1.0,100.0,0.10992576476999363,a,500.0,paper,5.0,0.6989700043360189,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
348.0,383.0,2.0,100.0,0.11063988965495201,a,500.0,paper,5.0,0.6989700043360189,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
348.0,383.0,5.0,100.0,0.07282588757101602,a,1000.0,paper,10.0,1.0,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
348.0,383.0,10.0,100.0,0.06523542194414682,a,1000.0,paper,10.0,1.0,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
348.0,383.0,20.0,100.0,0.058452380803268505,a,1000.0,paper,10.0,1.0,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
348.0,383.0,50.0,100.0,0.05517878158492928,a,1000.0,paper,10.0,1.0,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
348.0,383.0,100.0,100.0,0.05699344885454223,a,1000.0,paper,10.0,1.0,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
348.0,383.0,0.1,200.0,0.14322367691222104,a,1000.0,paper,5.0,0.6989700043360189,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
348.0,383.0,0.2,200.0,0.14227358628143838,a,1000.0,paper,5.0,0.6989700043360189,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
348.0,383.0,0.5,200.0,0.1411309292022276,a,1000.0,paper,5.0,0.6989700043360189,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
348.0,383.0,1.0,200.0,0.13914728645732985,a,1000.0,paper,5.0,0.6989700043360189,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
348.0,383.0,2.0,200.0,0.13022363121481273,a,1000.0,paper,5.0,0.6989700043360189,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
348.0,383.0,5.0,200.0,0.1397078581881192,a,1000.0,paper,5.0,0.6989700043360189,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
348.0,383.0,10.0,200.0,0.13194679227934994,a,1000.0,paper,5.0,0.6989700043360189,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
348.0,383.0,20.0,200.0,0.12509334541658468,a,1000.0,paper,5.0,0.6989700043360189,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
348.0,383.0,50.0,200.0,0.12080274055146681,a,1000.0,paper,5.0,0.6989700043360189,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
348.0,383.0,100.0,200.0,0.1217152438591986,a,1000.0,paper,5.0,0.6989700043360189,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
348.0,383.0,0.1,500.0,0.24258651103892978,a,1000.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,0.2,500.0,0.24095512520637052,a,1000.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,0.5,500.0,0.23943361706283597,a,1000.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,1.0,500.0,0.23743332123705502,a,1000.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,2.0,500.0,0.22870174510249047,a,1000.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,5.0,500.0,0.19524132352481982,a,1000.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,10.0,500.0,0.18732188692369206,a,1000.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,20.0,500.0,0.18040799179954178,a,1000.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,50.0,500.0,0.17640996549088453,a,1000.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,100.0,500.0,0.17796515529694593,a,1000.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,0.1,1000.0,0.23682481815715906,a,1000.0,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,0.2,1000.0,0.23518950062275884,a,1000.0,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,0.5,1000.0,0.23366564734607637,a,1000.0,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,1.0,1000.0,0.23166382123406554,a,1000.0,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,2.0,1000.0,0.22292522892105943,a,1000.0,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,5.0,1000.0,0.19405962621278688,a,1000.0,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,10.0,1000.0,0.18612699338369798,a,1000.0,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,20.0,1000.0,0.1792052026534357,a,1000.0,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,50.0,1000.0,0.17521991391751618,a,1000.0,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
348.0,383.0,100.0,1000.0,0.17681030698420508,a,1000.0,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
363.0,383.0,0.1,0.1,0.4211584101979348,b,0.1,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
363.0,383.0,0.2,0.1,0.32743060543250124,b,0.1,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
363.0,383.0,0.5,0.1,0.3439166850448929,b,0.1,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
363.0,383.0,1.0,0.1,0.2882661323930972,b,0.1,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
363.0,383.0,2.0,0.1,0.3167623667792496,b,0.1,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
363.0,383.0,5.0,0.1,0.2662390776332127,b,0.1,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
363.0,383.0,10.0,0.1,0.2811376419183631,b,0.1,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
363.0,383.0,20.0,0.1,0.11345217633428023,b,0.1,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
363.0,383.0,50.0,0.1,0.5646154848451949,b,0.5,paper,5.0,0.6989700043360189,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
363.0,383.0,100.0,0.1,0.23083455801732358,b,10.0,paper,100.0,2.0,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
363.0,383.0,0.1,0.2,0.2982446076139379,b,0.1,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
363.0,383.0,0.2,0.2,0.3074148543644959,b,0.1,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
363.0,383.0,0.5,0.2,0.26533233771528236,b,0.1,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
363.0,383.0,1.0,0.2,0.28405028858868697,b,0.1,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
363.0,383.0,2.0,0.2,0.22992136340286418,b,0.1,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
363.0,383.0,5.0,0.2,0.26182422512019443,b,0.1,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
363.0,383.0,10.0,0.2,0.05698384224572846,b,0.1,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
363.0,383.0,20.0,0.2,0.13333863740406648,b,0.1,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
363.0,383.0,50.0,0.2,0.07500882680715992,b,5.0,paper,25.0,1.3979400086720377,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
363.0,383.0,100.0,0.2,0.10567294892850096,b,5.0,paper,25.0,1.3979400086720377,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
363.0,383.0,0.1,0.5,0.1434666639021578,b,0.1,paper,5.0,0.6989700043360187,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
363.0,383.0,0.2,0.5,0.15358715813762253,b,0.1,paper,5.0,0.6989700043360187,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
363.0,383.0,0.5,0.5,0.137222887578593,b,0.5,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
363.0,383.0,1.0,0.5,0.12926481990695218,b,0.5,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
363.0,383.0,2.0,0.5,0.12287921566746074,b,0.2,paper,2.5,0.3979400086720376,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
363.0,383.0,5.0,0.5,0.05350287888291302,b,0.2,paper,2.5,0.3979400086720376,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
363.0,383.0,10.0,0.5,0.05063563952439701,b,0.1,paper,5.0,0.6989700043360187,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
363.0,383.0,20.0,0.5,0.12616375169200286,b,0.1,paper,5.0,0.6989700043360187,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
363.0,383.0,50.0,0.5,0.10189686916160556,b,5.0,paper,10.0,1.0,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
363.0,383.0,100.0,0.5,0.143459725096152,b,5.0,paper,10.0,1.0,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
363.0,383.0,0.1,1.0,0.14305510923669373,b,2.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
363.0,383.0,0.2,1.0,0.1507637868415968,b,2.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
363.0,383.0,0.5,1.0,0.16395711566909835,b,2.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
363.0,383.0,1.0,1.0,0.1782324462027891,b,2.0,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
363.0,383.0,2.0,1.0,0.13392047126352266,b,1.0,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
363.0,383.0,5.0,1.0,0.055752060947623416,b,1.0,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
363.0,383.0,10.0,1.0,0.03009754990622929,b,0.5,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
363.0,383.0,20.0,1.0,0.0636123054148136,b,0.1,paper,10.0,1.0,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
363.0,383.0,50.0,1.0,0.5042937343823148,b,0.1,paper,10.0,1.0,"delta_h_kj_mol,delta_h_peak_kj_mol",False,fig2_only
363.0,383.0,100.0,1.0,0.7269652168024214,b,0.5,paper,2.0,0.3010299956639812,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
363.0,383.0,0.1,2.0,0.3137976426991628,b,2.0,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
363.0,383.0,0.2,2.0,0.3049889034141001,b,2.0,paper,1.0,0.0,"delta_h_kj_mol,delta_h_peak_kj_mol",True,fig2_only
