sample_id,source_file,T1_bin,T2_bin,path_class,actual_T1_C,actual_t1_s,actual_T2_C,actual_t2_s,pred_T1_C,pred_t1_s,pred_T2_C,pred_t2_s,loss,target_loss,inverse_identifiability,extrapolation_penalty,T1_abs_error_C,T2_abs_error_C,t1_factor_error,t2_factor_error,top1_near_match,top5_near_match,top10_near_match,actual_like_rank,posterior_contains_actual_T1,posterior_contains_actual_T2,posterior_contains_actual_t1,posterior_contains_actual_t2,posterior_width_T1_C,posterior_width_T2_C,posterior_width_log10_t1_s,posterior_width_log10_t2_s,loss_flatness_ratio,posterior_n_valid_candidates
kovacs_80_to_90_016,pskovacs.xlsx,80-90,T2 75-90,up-jump,80.0,499.98,90.0,10.020000000000001,70.0,1200.0,100.0,30.0,-0.02970834476320261,0.13675737123287562,0.9948592374729649,0.0,10.0,10.0,2.4000960038401535,2.994011976047904,False,False,False,348,True,False,True,True,35.0,5.0,1.0405679404794577,1.0,2.8482042823377007,90
kovacs_80_to_90_017,pskovacs.xlsx,80-90,T2 75-90,up-jump,80.0,499.98,90.0,49.98,55.0,900.0,100.0,30.0,0.00010214590240975596,0.19477853348924,0.9394108247490303,0.0,25.0,10.0,1.8000720028801152,1.666,False,False,False,87,True,False,True,True,40.0,5.0,1.255272505103306,1.4771212547196626,738.9718922971351,90
kovacs_80_to_90_018,pskovacs.xlsx,80-90,T2 75-90,up-jump,80.0,499.98,90.0,100.02,50.0,900.0,100.0,30.0,0.016227849806869366,0.20460780081746277,0.8619017231132239,0.0,30.0,10.0,1.8000720028801152,3.334,False,False,False,41,True,False,True,True,40.0,5.0,1.4771212547196624,1.0000000000000002,4.645584114064396,90
kovacs_80_to_90_019,pskovacs.xlsx,80-90,T2 75-90,up-jump,80.0,499.98,90.0,499.98,85.0,1800.0,95.0,1800.0,0.29303482579233153,0.349992968811374,0.9833049357968594,0.0,5.0,5.0,3.6001440057602303,3.6001440057602303,False,True,True,4,True,False,True,True,35.0,5.0,0.7781512503836434,0.7781512503836434,0.6748657182588651,90
kovacs_80_to_90_020,pskovacs.xlsx,80-90,T2 75-90,up-jump,80.0,499.98,90.0,1000.0200000000001,85.0,1800.0,95.0,1800.0,0.9921842537343469,1.0491423967533893,0.9833049357968594,0.0,5.0,5.0,3.6001440057602303,1.7999640007199855,False,True,True,4,True,False,True,True,25.0,5.0,0.7781512503836434,0.7781512503836434,0.18655579252547422,90
twostep_90_to_80_001,twosteps.xlsx,80-90,T2 75-90,down-jump,90.0,49.98,80.0,0.1002,60.0,100.0,95.0,10.0,0.695471245759662,0.8184990430146761,0.7004405953604875,0.0,30.0,15.0,2.0008003201280515,99.8003992015968,False,False,False,,False,False,True,False,30.0,5.0,1.9542425094393248,0.4771212547196624,0.256710385172477,90
twostep_90_to_80_002,twosteps.xlsx,80-90,T2 75-90,down-jump,90.0,49.98,80.0,0.4998,60.0,100.0,95.0,10.0,0.6791645443565836,0.8021923416115977,0.7004405953604875,0.0,30.0,15.0,2.0008003201280515,20.008003201280513,False,False,False,,False,False,True,False,30.0,5.0,1.9542425094393248,0.4771212547196624,0.2628739866632507,90
twostep_90_to_80_003,twosteps.xlsx,80-90,T2 75-90,down-jump,90.0,49.98,80.0,0.7979999999999999,60.0,100.0,95.0,10.0,0.7231909587982025,0.8462187560532166,0.7004405953604875,0.0,30.0,15.0,2.0008003201280515,12.531328320802006,False,False,False,,False,False,True,False,30.0,5.0,1.9542425094393248,0.4771212547196624,0.24687074582906005,90
twostep_90_to_80_004,twosteps.xlsx,80-90,T2 75-90,down-jump,90.0,49.98,80.0,1.0002,60.0,300.0,95.0,10.0,0.46967203162008564,0.6208828128334563,0.7767438266313451,0.0,30.0,15.0,6.002400960384154,9.998000399920016,False,False,False,,False,False,True,False,20.0,5.0,2.255272505103306,0.7781512503836436,0.28858607305089473,90
twostep_90_to_80_005,twosteps.xlsx,80-90,T2 75-90,down-jump,90.0,49.98,80.0,4.998,60.0,100.0,95.0,10.0,0.3322866676354219,0.4553144648904361,0.7004405953604875,0.0,30.0,15.0,2.0008003201280515,2.000800320128051,False,False,False,6656,False,False,True,False,30.0,5.0,1.9542425094393248,0.4771212547196624,0.5372911668283666,90
twostep_90_to_80_006,twosteps.xlsx,80-90,T2 75-90,down-jump,90.0,49.98,80.0,10.020000000000001,60.0,100.0,95.0,10.0,0.5851103475441333,0.7081381447991474,0.7004405953604875,0.0,30.0,15.0,2.0008003201280515,1.0020000000000002,False,False,False,6655,False,False,True,True,30.0,5.0,1.9542425094393248,0.4771212547196624,0.30512995048661123,90
twostep_90_to_80_007,twosteps.xlsx,80-90,T2 75-90,down-jump,90.0,49.98,80.0,49.98,60.0,100.0,95.0,10.0,0.45200605994607923,0.5750338572010933,0.7004405953604875,0.0,30.0,15.0,2.0008003201280515,4.997999999999999,False,False,False,6653,False,False,True,False,30.0,5.0,1.9542425094393248,0.4771212547196624,0.3949829597343077,90
twostep_90_to_80_008,twosteps.xlsx,80-90,T2 75-90,down-jump,90.0,49.98,80.0,100.02,60.0,100.0,95.0,10.0,0.31439838966512235,0.4374261869201366,0.7004405953604875,0.0,30.0,15.0,2.0008003201280515,10.001999999999999,False,False,False,6652,False,False,True,False,30.0,5.0,1.9542425094393248,0.4771212547196624,0.567861341673886,90
twostep_90_to_80_009,twosteps.xlsx,80-90,T2 75-90,down-jump,90.0,49.98,80.0,499.98,70.0,30.0,95.0,100.0,0.020144423535613354,0.18559662116151993,0.9962219359913378,0.0,20.0,15.0,1.666,4.9998000000000005,False,False,False,6649,False,False,True,False,30.0,5.0,2.0791812460476247,1.0,4.079014429577961,90
twostep_90_to_80_010,twosteps.xlsx,80-90,T2 75-90,down-jump,90.0,49.98,80.0,1000.0200000000001,60.0,60.0,100.0,300.0,0.000839628724566055,0.21041649097566345,1.0,0.0,30.0,20.0,1.2004801920768309,3.3334,False,False,False,6648,False,False,True,True,25.0,5.0,1.7781512503836434,1.255272505103306,127.50566567433509,90
twostep_90_to_80_011,twosteps.xlsx,80-90,T2 75-90,down-jump,90.0,499.98,80.0,0.1002,85.0,100.0,100.0,60.0,-0.0848478627754109,0.06107207945414348,1.0,0.0,5.0,20.0,4.9998000000000005,598.8023952095808,False,False,False,,True,False,True,False,40.499999999999986,5.0,1.7781512503836436,1.0000000000000002,0.9667852427337471,90
twostep_90_to_80_012,twosteps.xlsx,80-90,T2 75-90,down-jump,90.0,499.98,80.0,0.4998,60.0,900.0,100.0,30.0,0.013935979995172487,0.20977893342474824,1.0,0.0,30.0,20.0,1.8000720028801152,60.024009603841534,False,False,False,,True,False,True,False,40.0,5.0,1.642687752334852,1.4771212547196626,5.879306654978859,90
twostep_90_to_80_013,twosteps.xlsx,80-90,T2 75-90,down-jump,90.0,499.98,80.0,0.7979999999999999,65.0,1800.0,100.0,30.0,-0.0059595343084233865,0.16497161707932184,0.9977161486645065,0.0,25.0,20.0,3.6001440057602303,37.59398496240602,False,False,False,,True,False,True,False,40.0,5.0,1.4771212547196624,1.0,14.846056762150011,90
twostep_90_to_80_014,twosteps.xlsx,80-90,T2 75-90,down-jump,90.0,499.98,80.0,1.0002,85.0,60.0,100.0,60.0,0.1927470759030726,0.34149373833427854,1.0,0.0,5.0,20.0,8.333,59.9880023995201,False,False,False,,True,False,True,False,45.0,5.0,1.4771212547196624,1.4771212547196626,0.3949322552363606,90
twostep_90_to_80_015,twosteps.xlsx,80-90,T2 75-90,down-jump,90.0,499.98,80.0,4.998,50.0,1800.0,100.0,60.0,-0.010154846538027007,0.1817807523430202,1.0,0.0,40.0,20.0,3.6001440057602303,12.004801920768307,False,False,False,6684,True,False,True,False,45.0,5.0,1.4771212547196624,1.2624166900958145,7.747959128537623,90
twostep_90_to_80_016,twosteps.xlsx,80-90,T2 75-90,down-jump,90.0,499.98,80.0,10.020000000000001,85.0,100.0,100.0,100.0,0.02750693854647751,0.17268249764165974,1.0,0.0,5.0,20.0,4.9998000000000005,9.98003992015968,False,False,False,6683,True,False,True,False,50.0,5.0,1.4771212547196624,1.4771212547196624,4.301461937845364,90
twostep_90_to_80_017,twosteps.xlsx,80-90,T2 75-90,down-jump,90.0,499.98,80.0,49.98,75.0,600.0,95.0,900.0,-0.03167380224860228,0.07285829691576773,0.9897556505049869,0.0,15.0,15.0,1.2000480019200768,18.007202881152462,False,False,False,6681,True,False,True,False,32.749999999999986,5.0,1.0405679404794577,1.2011980583366206,3.291517775978714,90
twostep_90_to_80_018,twosteps.xlsx,80-90,T2 75-90,down-jump,90.0,499.98,80.0,100.02,80.0,1200.0,95.0,1200.0,0.03149200105367406,0.11730990300570995,1.0,0.0,10.0,15.0,2.4000960038401535,11.997600479904019,False,False,False,6680,True,False,True,False,30.0,5.0,0.7781512503836434,0.7781512503836434,4.819857090257139,90
twostep_90_to_80_019,twosteps.xlsx,80-90,T2 75-90,down-jump,90.0,499.98,80.0,499.98,85.0,1800.0,95.0,1800.0,0.14777461792510072,0.2047327609441431,0.9833049357968594,0.0,5.0,15.0,3.6001440057602303,3.6001440057602303,False,False,False,6680,True,False,True,True,32.75,5.0,0.7781512503836434,0.7781512503836434,1.3381458966957134,90
twostep_90_to_80_020,twosteps.xlsx,80-90,T2 75-90,down-jump,90.0,499.98,80.0,1000.0200000000001,85.0,1800.0,95.0,1800.0,0.5265407198445635,0.583498862863606,0.9833049357968594,0.0,5.0,15.0,3.6001440057602303,1.7999640007199855,False,False,False,6685,True,False,True,True,25.0,5.0,0.7781512503836434,0.7781512503836434,0.3506117832161131,90
