mode,T1_C,t1_s,T2_C,t2_s,total_anneal_time_s,rank,eig_total,eig_score,nearest_existing_distance,eig_paper_delta_h_J_g,pred_paper_delta_h_J_g,uncertainty_paper_delta_h_J_g,eig_paper_delta_h_peak_J_g,pred_paper_delta_h_peak_J_g,uncertainty_paper_delta_h_peak_J_g,eig_paper_s_star_eff_J_mol_K,pred_paper_s_star_eff_J_mol_K,uncertainty_paper_s_star_eff_J_mol_K,eig_paper_h_star_eff_kJ_mol,pred_paper_h_star_eff_kJ_mol,uncertainty_paper_h_star_eff_kJ_mol
two_step,100,100,100,1800,1900,71,2.0450141240231403,2.291913305736138,2.0574931809416444,0.5881892682977707,0.9431070853248663,0.3250880258031249,0.5898244187449673,1.8283797012401006,0.2501798555917473,0.5426447857287803,-601.628405914528,265.28780977523905,0.5411057604967225,-109.86773852254865,100.22643212622171
two_step,95,100,95,100,200,72,2.079873490707107,2.290114219096466,1.7520060699113233,0.5731208346552252,0.8705753814651745,0.31803428099283104,0.5713918954191582,1.7722414993343376,0.2435553423495046,0.5854249262733496,-634.2866983420449,282.61500686116244,0.5837760245175545,-122.23619241030444,106.76565731068952
two_step,100,1200,100,60,1260,73,2.0387577096789307,2.286682183624526,2.066037282879962,0.5447445319072535,0.9554549357965598,0.3049022699286514,0.5397879342647883,1.8371599092985476,0.23234534290831535,0.597270434986693,-590.1572894877913,287.4835022727811,0.595511119396918,-105.51912630565593,108.59035302656814
two_step,95,30,95,300,330,74,2.0758710326547867,2.285894795756445,1.7501980258471537,0.5884316769322641,0.8683110298411846,0.3252019770806776,0.5899036924462886,1.7708715375097783,0.2502084907902471,0.5617431566647056,-638.8559731670731,272.97557661542595,0.5601764224305865,-123.96712853432904,103.13116000508832
two_step,100,600,100,300,900,75,2.039553209692717,2.28352408609962,2.033090636724192,0.5604015333222392,0.9432890286721407,0.3121243035704313,0.556934222868526,1.8279449826368543,0.23840475116409243,0.5772232148183482,-596.2599489186306,279.2627140677702,0.5755486020590913,-107.8335898900185,105.49337413483245
two_step,95,10,95,900,910,76,2.0529745571590268,2.27233310657549,1.827987911803858,0.6068019965767402,0.8851835491242775,0.33388281092117217,0.6121536287200283,1.7843812426505736,0.25829656321913774,0.5219751321655923,-633.6864960927182,257.0480304781386,0.5205485326622303,-122.0099825307884,97.12531811398169
two_step,100,300,100,900,1200,77,2.025481426667742,2.270416488626104,2.041125516319682,0.5726998734494144,0.9443226301782974,0.31783804711982483,0.5712774876508138,1.828912929693218,0.24351443058754074,0.5517326439341258,-596.6201785244365,268.9367644240628,0.5501474380252664,-107.97225278827604,101.6001413165303
two_step,100,1800,100,30,1830,78,2.014251228351847,2.267205055909399,2.1079485629796015,0.5354654279135315,0.9666885426856984,0.3006485478933154,0.529879570380379,1.8457005034811145,0.22886687674795694,0.5939520650129118,-583.5095725174363,286.1164012154257,0.5921807225595089,-103.00135334074693,108.07129520975494
two_step,100,1200,100,100,1300,79,2.013694434736486,2.2612401750234805,2.0628811690582887,0.5464484985300744,0.9579258372657206,0.3056855020783176,0.5416838973199258,1.8390329851570624,0.23301283921116606,0.579331161367049,-587.2626089566115,280.1228687519329,0.577621387241058,-104.42551278175823,105.81337384135772
two_step,95,300,95,30,330,80,2.0498028091302514,2.2597933682412528,1.7499213259250126,0.5615197041581589,0.898840415004239,0.312642283415865,0.5578890887637382,1.7937293334870146,0.2387437352806908,0.5823260467104595,-616.1520304276288,281.34663570217026,0.5806664735499834,-115.36876671812978,106.28412969006867
two_step,90,10,90,10,20,81,2.0599831269789157,2.258900794165335,1.6576472265534936,0.5290429335609651,0.7609828935801666,0.2977154295456613,0.5286982996089745,1.6849014829275533,0.22845326525629053,0.6273225965597945,-698.8375698820188,299.9841875882803,0.6254797707014258,-146.67703757675994,113.30603549201129
two_step,95,10,95,1200,1210,82,2.034752817088437,2.2541156321761795,1.8280234590645208,0.609560967088823,0.8948786754902365,0.33519443468135796,0.6153992634445741,1.791918799859123,0.25948507105251,0.5068069678283186,-628.4148263385182,251.05096962730246,0.5054337653654811,-120.01451596355923,94.86373284292623
two_step,95,60,95,300,360,83,2.042236156677638,2.250897924115357,1.7388480619809914,0.5844486790714796,0.8822338536102281,0.3233315859509714,0.5846307689135224,1.7814372474326483,0.24830654603511793,0.5464833664949541,-628.0558859428073,266.82706778641506,0.544962519370841,-119.87966910431523,100.81164205612693
two_step,95,10,100,10,20,84,2.0633825826797985,2.2482662709412593,1.5406974021788418,0.5351550421413432,0.7592597909757826,0.30050659050067535,0.5342247103402898,1.68748655754388,0.23039027224595254,0.6221635752563597,-695.6824044232693,297.8224838768543,0.6203399624913472,-145.4872261817452,112.49137720962182
