mode,T1_C,t1_s,T2_C,t2_s,total_anneal_time_s,rank,eig_total,eig_score,nearest_existing_distance,eig_delta_h_total_J_g,pred_delta_h_total_J_g,uncertainty_delta_h_total_J_g,eig_peak_area_J_g,pred_peak_area_J_g,uncertainty_peak_area_J_g,eig_peak_temperature_Tp_C,pred_peak_temperature_Tp_C,uncertainty_peak_temperature_Tp_C,eig_peak_height_uW,pred_peak_height_uW,uncertainty_peak_height_uW,eig_recovery_index,pred_recovery_index,uncertainty_recovery_index,eig_path_dependence_index,pred_path_dependence_index,uncertainty_path_dependence_index
two_step,50,1200,60,1800,3000,32,1.705156221871085,2.126609028733302,3.512106723851811,0.654790015044094,-1.1125118430693386,0.3289144300607719,0.8412504994914165,-1.9138864425619648,0.27203853599978844,0.004097887353630782,104.6113349521091,0.45358163570017446,0.30939181302589885,-184.1450216752143,46.278187757576866,0.36132559695995276,0.7607014795023046,0.2221724978291374,0.42282046598692086,-0.2102573035134471,0.23060532242318954
two_step,50,900,60,600,1500,33,1.7119333245360127,2.1259470633176067,3.4501144898466167,0.663204153496498,-1.0567367696349503,0.332715337760145,0.8444539703990301,-1.8675170243887211,0.27311033970981907,0.004223332970802816,104.64586826798038,0.46050080554656797,0.2922830971307364,-177.77599775121854,44.559299734249215,0.37320296785406704,0.7262190650512009,0.22730320210853253,0.41253860294340394,-0.1779200174294807,0.22645590712175429
two_step,55,300,60,300,600,34,1.7318129472302919,2.1248101455466832,3.2749766526365938,0.6981050118482575,-0.9896043910712566,0.3487038825473873,0.8641676248336407,-1.8291670893323866,0.27976505738494944,0.00331999915557855,104.8166286697731,0.40810819562647094,0.26947089690801684,-176.99405580278815,42.25493857424459,0.36628641129442924,0.6589744007345427,0.22431486759158473,0.41318015775704725,-0.14241304752157533,0.22671453022300508
two_step,50,900,50,1200,2100,35,1.6218900248728627,2.1184615213480757,4.138095803960107,0.6255208077689064,-1.0967285697968083,0.3158468266120509,0.7936825559613138,-1.9032923228746315,0.25642792807329295,0.0028406528509870915,104.73189737920154,0.3774080989286797,0.29026201431476556,-180.20831845941743,44.35579475368774,0.3496692702279371,0.7615012897594575,0.21714062698518835,0.3996155460386783,-0.16706219527524074,0.2212537321866707
two_step,55,900,65,1200,2100,36,1.7673937345321786,2.1184045467380983,2.925090101715997,0.6969273686085168,-1.1366703727763803,0.34815836118666027,0.8670452490638009,-1.9466660802113331,0.2807450529915866,0.0038764977890381313,104.6744510372939,0.44111018662565843,0.307697963605155,-192.61073756511146,46.108271327645774,0.3765883415392952,0.7531204107679615,0.22876658286678395,0.42758116975891447,-0.24604387477239048,0.23253009547531323
two_step,55,900,65,600,1500,37,1.766757414061411,2.1173444798428793,2.921558881512237,0.6935430084402248,-1.1111043123266922,0.34659301070914583,0.8598369023490681,-1.9277027016142083,0.27829435896796834,0.00404722858201717,104.70478910732442,0.45075785776226507,0.3075610022951647,-188.98788168597343,46.0945300420979,0.38085758097133204,0.738031257133644,0.23061281315964907,0.43042566998133547,-0.23218920018140563,0.23368127040660525
two_step,55,900,65,900,1800,38,1.7702549400661844,2.1149828610695414,2.8727326750279727,0.7102075671345094,-1.1322233391863117,0.3543353359324403,0.8769669018334939,-1.9387672764390225,0.28414100735298087,0.0037674388919593754,104.661363947215,0.4348372226489645,0.29007027734200097,-192.46999796729733,44.33648284596718,0.3765679889007146,0.7477081672526465,0.228757783547026,0.41886575170141477,-0.241009965665902,0.22900814498819824
two_step,55,600,50,600,1200,39,1.6532390079258779,2.114862232128804,3.846860201691053,0.6517861441989284,-1.0761347511537187,0.3275623845213349,0.8118967007832661,-1.9125075684493738,0.2623390697711343,0.0033829193238104367,104.81181887368545,0.4119702246776539,0.25622837004159726,-188.9157553462031,40.90804970250324,0.3598344902898903,0.7325001633241919,0.22152867686962363,0.4080308545851508,-0.15786166696286455,0.22463975904815156
two_step,55,1200,60,900,2100,40,1.7242438757027478,2.1139172277279035,3.2472779335429633,0.6811644598081326,-1.1520647409041025,0.3408975093618752,0.8458703448940009,-1.9648696728964514,0.27358507119677394,0.003117839745216767,104.71663897105228,0.3954479047204121,0.30180311264646126,-195.26984854793653,45.5165253987824,0.361775228391517,0.760741568773545,0.22236664735538156,0.4248596694239663,-0.24923411928101044,0.2314294964851514
two_step,55,900,55,1200,2100,41,1.6703141549372655,2.1120377134517443,3.681029654287323,0.6547161890350189,-1.1298215711515651,0.3288811702531253,0.8151213647554795,-1.948128745548508,0.2633940432804124,0.00301151424234174,104.74874494115932,0.38862589310777906,0.2873423143342457,-192.05050358518523,44.06160911893969,0.35592783199346434,0.7602258838207044,0.21984210229163806,0.41611005773071463,-0.21217628393866803,0.2278961016451293
two_step,50,1800,60,1200,3000,42,1.6888865702134042,2.1114313160096683,3.521206214968868,0.6501890553203453,-1.1353051832077832,0.3268445704038271,0.8349581647982933,-1.9340809629073403,0.269940964884804,0.00431991844512446,104.59792355925177,0.46575927266411976,0.3077748349081676,-187.67260282339058,46.11598365636517,0.35822627321347533,0.7731284791344404,0.22083434542105732,0.41331198446224077,-0.23294123583699158,0.226767676654737
two_step,60,300,60,300,600,43,1.732114517834637,2.109098194425217,3.141530638254835,0.6932923272108067,-1.0294094760264945,0.3464772051240083,0.8430153957895641,-1.8757655910641784,0.27262869937108936,0.0033960590625244777,104.87105376501648,0.41277223960297155,0.26149232292957253,-184.51646425692243,41.44440269391083,0.37404247358547266,0.6841552173323606,0.2276660438280374,0.43274066884335466,-0.14927644592985828,0.2346188007031319
two_step,50,600,55,900,1500,44,1.6533413849914531,2.1088406887768993,3.7958275315453855,0.6379224948512465,-1.0493705682995966,0.3213550468818775,0.8078998342062753,-1.860212225682527,0.26103502054600664,0.002982305992173196,104.72330645206624,0.3867310338586042,0.286902991917174,-173.1927077309467,44.01732246051873,0.3594665294078079,0.7261302870923068,0.2213698086975231,0.40907027850566585,-0.14571077157280468,0.22505838311474957
two_step,55,600,55,900,1500,45,1.6651695781787144,2.107657543056562,3.6873997073153966,0.6478614687154013,-1.0892984099099854,0.325799715782333,0.8018112701591683,-1.9107999398190647,0.25905603085889395,0.0030742346115378454,104.78479501990822,0.3926642923258339,0.28712006095841447,-184.24259730189453,44.03920518459705,0.36440049498662325,0.7410620553336299,0.22350033568650365,0.4147864682053553,-0.17938830147937854,0.22736222698006317
two_step,60,300,65,300,600,46,1.7839845453806173,2.107396948338142,2.6951033579793697,0.7205574072540459,-1.0356059717841097,0.35918818096740873,0.8683730671613388,-1.8759826037285414,0.2811979982365121,0.00340735687013904,104.84158346028116,0.4134606008495832,0.2740248767395052,-184.435678827497,42.71639150367561,0.38309906149981676,0.6786108768422078,0.2315825254421679,0.43855937052375316,-0.17211129148736679,0.23697791269879018
two_step,55,900,55,600,1500,47,1.661824042490429,2.103098557549287,3.677287625490483,0.6480347560373579,-1.1085502718003446,0.32587745225909326,0.805718876094771,-1.929079084918535,0.2603250958800371,0.003033662995296377,104.77099037107651,0.3900567104595593,0.2882969548787039,-188.07330385173162,44.1578240871287,0.3578598179733836,0.7503024691518938,0.2206761393549544,0.4152714288105227,-0.19905680593872907,0.22755781892038493
two_step,55,300,50,300,600,48,1.6348265156800192,2.0945263664678966,3.8308320898989785,0.6457434655921795,-1.002216773455011,0.3248502594944749,0.8010966853604427,-1.8506384850912896,0.25882435801751824,0.003430204551621645,104.89136157060999,0.41484923817681324,0.24554912121705616,-179.25815494705247,39.81550839975965,0.3621365355701624,0.6854684641282137,0.2225226624013341,0.3984128847515764,-0.10731847451216481,0.22077026509351946
two_step,55,1200,60,1200,2400,49,1.7091734137266958,2.094191929092013,3.208487628044311,0.6860607751872542,-1.1687283948460332,0.3431447859395934,0.8469152040071666,-1.9762433209927994,0.2739356142827307,0.003063431878305976,104.68799571074662,0.39197166279321677,0.28107270526312145,-198.28961198729343,43.42903531552322,0.35699485499735145,0.7676378410593954,0.22030272741168672,0.4148451101434555,-0.2563426495373919,0.22738587701692062
