sample_id,source_file,pair,T1_C,T2_C,actual_t1_s,actual_t2_s,pred_t1_s,pred_t2_s,abs_log_error_t1,abs_log_error_t2,t1_factor_error,t2_factor_error,top1_time_near_match,top5_time_near_match,top10_time_near_match,posterior_contains_actual_t1,posterior_contains_actual_t2,posterior_width_log10_t1,posterior_width_log10_t2,posterior_n_valid_candidates,loss_flatness_ratio,best_loss,target_delta_h_total_J_g,best_pred_delta_h_total_J_g,best_error_delta_h_total_J_g,target_peak_area_J_g,best_pred_peak_area_J_g,best_error_peak_area_J_g,target_recovery_index,best_pred_recovery_index,best_error_recovery_index,target_path_dependence_index,best_pred_path_dependence_index,best_error_path_dependence_index
kovacs_80_to_90_005,pskovacs.xlsx,80->90,80.0,90.0,49.98,4.998,30.0,0.798,0.22167499707076876,0.7967933604397018,1.666,6.2631578947368425,False,False,False,True,True,1.0000000780585263,1.6979285302592042,23,2.452265134921793,0.09934459351917235,-0.555097865261066,-0.5348551894743583,0.020242675786707687,-1.5044589498514893,-1.497089785275202,0.007369164576287224,0.3524536133943853,0.3630663083687905,0.010612694974405201,0.16223635784425305,0.1480782470554853,-0.014158110788767747
kovacs_80_to_90_006,pskovacs.xlsx,80->90,80.0,90.0,49.98,10.020000000000001,100.02,4.998,0.30129059842121797,0.3020714697407957,2.001200480192077,2.0048019207683074,True,True,True,True,True,1.0000868502116491,2.0,24,0.8045132442757854,0.21584247690501146,-0.5759058693140657,-0.5789619792362537,-0.003056109922187966,-1.5606705424498715,-1.5375260652209464,0.023144477228925098,0.3656654390470666,0.3785550364186316,0.012889597371564976,0.1414283537912533,0.07835390338656026,-0.06307445040469303
kovacs_80_to_90_007,pskovacs.xlsx,80->90,80.0,90.0,49.98,49.98,300.0,0.4998,0.7783250029292315,2.0,6.002400960384154,99.99999999999999,False,True,True,True,False,1.4770344825665398,1.7580043389732012,23,0.7205369780053232,0.18042540354263054,-0.6829876298758301,-0.6655552976922507,0.017432332183579313,-1.61894611004148,-1.6430587219534163,-0.024112611911936366,0.43365588866062477,0.41158410694623915,-0.02207178171438562,0.034346593229488964,0.008280824941721894,-0.02606576828776707
kovacs_80_to_90_008,pskovacs.xlsx,80->90,80.0,90.0,49.98,100.02,30.0,60.0,0.22167499707076876,0.22193559982800548,1.666,1.667,True,True,True,True,False,1.4294178142688607,1.001522498300289,23,0.7843987258306051,0.13623610778564518,-0.7395259120880413,-0.743603860506279,-0.00407794841823772,-1.6663848600965965,-1.6574292935136496,0.008955566582946828,0.4695542826337911,0.5165994438094869,0.04704516117569574,-0.02219168898272228,-0.008443524820295555,0.013748164162426725
kovacs_80_to_90_009,pskovacs.xlsx,80->90,80.0,90.0,49.98,499.98,30.0,499.98,0.22167499707076876,0.0,1.666,1.0,True,True,True,True,True,1.7781512503836434,0.7781512503836434,23,1.3264899587256254,0.17524179002344467,-1.1409172062672797,-1.1251610534716285,0.015756152795651124,-1.9706512586640845,-1.9898883125024298,-0.019237053838345286,0.7244135081362819,0.75125098407482,0.026837475938538136,-0.1319619192249042,-0.15891861084279188,-0.02695669161788769
kovacs_80_to_90_010,pskovacs.xlsx,80->90,80.0,90.0,49.98,1000.0200000000001,300.0,1200.0,0.7783250029292315,0.07917256024484409,6.002400960384154,1.1999760004799902,False,False,False,False,True,1.2788451207023455,1.255272505103306,23,2.281564393232043,0.1598776773778007,-1.4520779412940008,-1.4828390311627324,-0.030761089868731606,-2.260744052237382,-2.2554311773282274,0.005312874909154441,0.9219817790123416,0.9286231291194107,0.006641350107069122,-0.44312265425162534,-0.48356653752134376,-0.04044388326971843
kovacs_80_to_90_011,pskovacs.xlsx,80->90,80.0,90.0,499.98,0.1002,300.0,49.98,0.22183137748963544,2.697928530259204,1.6666,498.8023952095808,False,True,True,True,False,1.698952632209298,2.260649270509158,25,1.7562950773834827,0.13340218324085373,-0.8672824372822605,-0.8814049755170515,-0.014122538234791038,-1.7983458825121397,-1.760068800441468,0.03827708207067171,0.5506719589163982,0.5439239727203364,-0.0067479861960617615,-0.07058892562102359,-0.07199305554714508,-0.001404129926121489
kovacs_80_to_90_012,pskovacs.xlsx,80->90,80.0,90.0,499.98,0.4998,499.98,1.0002,0.0,0.3012905984212177,1.0,2.0012004801920766,True,True,True,True,True,0.9778151250383642,3.4064606801625152,23,4.227910423474254,0.1297648099527249,-0.8745292435709252,-0.8763014281493055,-0.0017721845783802426,-1.8083779093451169,-1.7959857829650605,0.012392126380056379,0.5552732431616687,0.5594518157267394,0.004178572565070704,-0.2501662195062677,-0.20751026809978818,0.04265595140647954
kovacs_80_to_90_013,pskovacs.xlsx,80->90,80.0,90.0,499.98,0.7979999999999999,499.98,0.798,0.0,5.551115123125783e-17,1.0,1.0000000000000002,True,True,True,True,True,1.698952632209298,2.9294262756545018,23,2.869655485911039,0.1504724693235112,-0.8349612827884664,-0.8730942624454896,-0.038132979657023225,-1.78129010628785,-1.7955254387410708,-0.01423533245322095,0.5301499781931283,0.5561040404905129,0.025954062297384617,-0.2029778885052156,-0.19910313573732163,0.003874752767893952
kovacs_80_to_90_014,pskovacs.xlsx,80->90,80.0,90.0,499.98,1.0002,499.98,4.998,0.0,0.6987094015787824,1.0,4.997000599880025,False,True,True,True,True,0.9778151250383642,3.4064606801625152,23,1.9655330164173188,0.1533258661603255,-0.9263781596734751,-0.9139882938299437,0.012389865843531411,-1.819308134572531,-1.8092661719473502,0.010041962625180867,0.5881941729193998,0.5901470866791041,0.0019529137597043,-0.20904393656815612,-0.25911577349230674,-0.050071836924150626
