sample_id,pair,actual_t1_s,actual_t2_s,mode,T1_C,T2_C,t1_s,t2_s,total_anneal_time_s,rank,loss,target_loss,target_delta_h_total_J_g,pred_delta_h_total_J_g,error_delta_h_total_J_g,target_peak_area_J_g,pred_peak_area_J_g,error_peak_area_J_g,target_recovery_index,pred_recovery_index,error_recovery_index,target_path_dependence_index,pred_path_dependence_index,error_path_dependence_index
kovacs_eig_01_004,50->100,10.000020000000001,10.000020000000001,two_step,50,100,100.02,0.4998,100.52,1,0.12293423818332277,0.12293423818332277,-0.9448983335947144,-0.9347654428351784,0.01013289075953605,-1.733195786910836,-1.726760864803359,0.006434922107477092,0.7002026906210237,0.6543787517600557,-0.04582393886096803,-0.2397959967216231,-0.23327493261900395,0.006521064102619156
kovacs_eig_01_004,50->100,10.000020000000001,10.000020000000001,two_step,50,100,100,0.4998,100.5,2,0.12307781412645467,0.12307781412645467,-0.9448983335947144,-0.9347477910856753,0.010150542509039129,-1.733195786910836,-1.7267525910920318,0.006443195818804259,0.7002026906210237,0.6543642838398462,-0.045838406781177454,-0.2397959967216231,-0.23324164035566325,0.006554356365959857
kovacs_eig_01_004,50->100,10.000020000000001,10.000020000000001,two_step,50,100,100,0.4998,100.5,3,0.12307781412645467,0.12307781412645467,-0.9448983335947144,-0.9347477910856753,0.010150542509039129,-1.733195786910836,-1.7267525910920318,0.006443195818804259,0.7002026906210237,0.6543642838398462,-0.045838406781177454,-0.2397959967216231,-0.23324164035566325,0.006554356365959857
kovacs_eig_01_004,50->100,10.000020000000001,10.000020000000001,two_step,50,100,0.798,4.998,5.796,4,0.14157569954002155,0.14157569954002155,-0.9448983335947144,-0.9307914881560183,0.014106845438696114,-1.733195786910836,-1.734769242520891,-0.0015734556100548414,0.7002026906210237,0.7225184688129218,0.022315778191898117,-0.2397959967216231,-0.20286590657895395,0.03693009014266915
kovacs_eig_01_004,50->100,10.000020000000001,10.000020000000001,two_step,50,100,1.0002,4.998,5.9982,5,0.1665766717056344,0.1665766717056344,-0.9448983335947144,-0.9218381865088605,0.02306014708585391,-1.733195786910836,-1.7284214057765677,0.004774381134268424,0.7002026906210237,0.7124842392193861,0.01228154859836239,-0.2397959967216231,-0.19384180821141375,0.045954188510209354
kovacs_eig_01_004,50->100,10.000020000000001,10.000020000000001,two_step,50,100,100.02,0.798,100.818,6,0.17037509425416414,0.17037509425416414,-0.9448983335947144,-0.9327558845618891,0.012142449032825353,-1.733195786910836,-1.719321034971119,0.0138747519397171,0.7002026906210237,0.6667635831502127,-0.033439107470811025,-0.2397959967216231,-0.26846109443305227,-0.028665097711429166
kovacs_eig_01_004,50->100,10.000020000000001,10.000020000000001,two_step,50,100,100,0.798,100.798,7,0.17038057069666127,0.17038057069666127,-0.9448983335947144,-0.9327379568155387,0.012160376779175697,-1.733195786910836,-1.719312587435989,0.013883199474847174,0.7002026906210237,0.6667488645632711,-0.0334538260577526,-0.2397959967216231,-0.26842746901666126,-0.02863147229503815
kovacs_eig_01_004,50->100,10.000020000000001,10.000020000000001,two_step,50,100,100,0.798,100.798,8,0.17038057069666127,0.17038057069666127,-0.9448983335947144,-0.9327379568155387,0.012160376779175697,-1.733195786910836,-1.719312587435989,0.013883199474847174,0.7002026906210237,0.6667488645632711,-0.0334538260577526,-0.2397959967216231,-0.26842746901666126,-0.02863147229503815
kovacs_eig_01_004,50->100,10.000020000000001,10.000020000000001,two_step,50,100,4.998,1.0002,5.9982,9,0.18871582792523198,0.18871582792523198,-0.9448983335947144,-0.9724793434701533,-0.027581009875438878,-1.733195786910836,-1.748985977745337,-0.01579019083450084,0.7002026906210237,0.7066027602650141,0.006400069643990425,-0.2397959967216231,-0.19534549193445622,0.04445050478716689
kovacs_eig_01_004,50->100,10.000020000000001,10.000020000000001,two_step,50,100,0.4998,4.998,5.4978,10,0.19243673090932956,0.19243673090932956,-0.9448983335947144,-0.9575332376067905,-0.01263490401207612,-1.733195786910836,-1.7510380814139088,-0.01784229450307273,0.7002026906210237,0.7541654886394843,0.0539627980184606,-0.2397959967216231,-0.22211528091326158,0.01768071580836153
kovacs_eig_01_005,50->100,1800.0,10.000020000000001,two_step,50,100,1800,10.02,1810.02,1,0.05353902556777225,0.05353902556777225,-1.0979280042202304,-1.1004316579290037,-0.002503653708773257,-1.817888413755372,-1.831414211029288,-0.013525797273916007,0.8136030251408164,0.8128794597736165,-0.0007235653671998632,-0.3928256673471391,-0.39971166763019206,-0.006886000283052973
