mode,T1_C,T2_C,t1_s,t2_s,total_anneal_time_s,requires_multi_rate_arrt,heating_rates_C_min,raw_eig_score,eig_score,uncertainty_component,sensitivity_component,novelty_component,asymmetry_component,time_penalty_component,has_existing_strict_arrt_pair,pred_delta_h_total_J_g,uncertainty_delta_h_total_J_g,pred_peak_area_J_g,uncertainty_peak_area_J_g,pred_activation_enthalpy_H_star_kj_mol,uncertainty_activation_enthalpy_H_star_kj_mol,pred_activation_entropy_S_star_j_mol_K,uncertainty_activation_entropy_S_star_j_mol_K,rank
two_step,80.0,90.0,300.0,300.0,600.0,True,"5,10,20,40",0.49199535536172734,0.49199535536172734,0.9835228892753578,0.0,0.3137169426057481,0.0,0.16666666666666666,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,52
two_step,90.0,80.0,300.0,300.0,600.0,True,"5,10,20,40",0.49199535536172734,0.49199535536172734,0.9835228892753578,0.0,0.3137169426057481,0.0,0.16666666666666666,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,53
two_step,80.0,90.0,1800.0,1800.0,3600.0,True,"5,10,20,40",0.4850028509451459,0.4850028509451459,0.9835228892753578,0.0,0.6120877538561742,0.0,1.0,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,65
two_step,90.0,80.0,1800.0,1800.0,3600.0,True,"5,10,20,40",0.4850028509451459,0.4850028509451459,0.9835228892753578,0.0,0.6120877538561742,0.0,1.0,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,66
two_step,80.0,90.0,300.0,900.0,1200.0,True,"5,10,20,40",0.4823750889030795,0.4823750889030795,0.9835228892753578,0.0,0.22650320734567994,0.21155813926699157,0.3333333333333333,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,40
two_step,90.0,80.0,300.0,900.0,1200.0,True,"5,10,20,40",0.4823750889030795,0.4823750889030795,0.9835228892753578,0.0,0.22650320734567994,0.21155813926699157,0.3333333333333333,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,41
two_step,80.0,90.0,900.0,1800.0,2700.0,True,"5,10,20,40",0.46813632893065166,0.46813632893065166,0.9835228892753578,0.0,0.3610159814468238,0.13347832467375917,0.75,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,59
two_step,90.0,80.0,900.0,1800.0,2700.0,True,"5,10,20,40",0.46813632893065166,0.46813632893065166,0.9835228892753578,0.0,0.3610159814468238,0.13347832467375917,0.75,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,60
two_step,80.0,90.0,900.0,900.0,1800.0,True,"5,10,20,40",0.45445724415716776,0.45445724415716776,0.9835228892753578,0.0,0.2593597199162836,0.0,0.5,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,68
two_step,90.0,80.0,900.0,900.0,1800.0,True,"5,10,20,40",0.45445724415716776,0.45445724415716776,0.9835228892753578,0.0,0.2593597199162836,0.0,0.5,False,-1.160792979507145,0.7270760128358681,-1.7703093051388439,0.4444802101050129,491.2591986910617,54.93082825265511,1082.1482189264768,147.44841575912665,69
two_step,80.0,90.0,10.0,1800.0,1810.0,True,"5,10,20,40",0.40223114544356037,0.40223114544356037,0.38587525809760687,0.08007036236463093,0.7439595546535086,1.0,0.5027777777777778,False,-0.8937310996153621,0.17351435846373686,-1.8583634254214163,0.0997147675838497,492.7896104236947,43.573426211331146,1086.0909073630223,117.40433826704988,67
two_step,80.0,90.0,10.0,900.0,910.0,True,"5,10,20,40",0.39869827939430286,0.39869827939430286,0.16564633965658515,0.47067526302556945,0.7002933274102264,0.8665216753262408,0.25277777777777777,False,-0.8453778045235234,0.11705548366362721,-1.830971084598606,0.06713236706478291,480.9572500875063,29.361275593368468,1054.2021881500134,79.11335372468218,70
two_step,90.0,80.0,30.0,1800.0,1830.0,True,"5,10,20,40",0.29734238375388655,0.29734238375388655,0.33941481356732656,0.15524721302660519,0.3380819749265208,0.7884418607330084,0.5083333333333333,False,-0.869812820658975,0.2297573779843199,-1.8301419305294329,0.13195399902258226,483.10308728248424,33.71443054006579,1059.9920134903198,90.7909940064809,71
two_step,80.0,90.0,30.0,1800.0,1830.0,True,"5,10,20,40",0.11352285716938884,0.11352285716938884,0.0,0.030915771109801878,0.3380819749265208,0.7884418607330084,0.5083333333333333,False,-0.8268921976342477,0.08067140285965431,-1.8203326340262094,0.046178056195655404,476.38455959990733,19.68706661811991,1041.8788297465642,53.04605012805831,72
