sample_id,source_file,cycle_id,mode,T1_C,t1_s,T2_C,t2_s,total_anneal_time_s,heating_rate_C_min,arrt_peak_temperature_Tp_C,n_points,temp_min_C,temp_max_C,covers_arrt_peak_window,is_truncated,feature_integration_low_C,feature_integration_high_C,feature_peak_low_C,feature_peak_high_C,delta_h_total_rel,delta_h_total_J_g,peak_area_rel,peak_area_J_g,peak_temperature_Tp_C,peak_height_uW,onset_temperature_C,kovacs_peak_label,delta_h_total_40_160_rel,delta_h_total_40_160_J_g,peak_area_40_160_rel,peak_area_40_160_J_g,peak_temperature_Tp_40_160_C,peak_height_40_160_uW,onset_temperature_40_160_C,legacy_feature_integration_low_C,legacy_feature_integration_high_C,legacy_feature_peak_low_C,legacy_feature_peak_high_C,recovery_index
onestep_50_011,PS-onestep-01.xlsx,11,single_step,50.0,0.1002,nan,nan,0.1002,10.0,106.008445739746,9958,30.0008754730225,197.009002685547,True,False,70.0,105.0,70.0,105.0,-3680.576878061397,-4.6986087805039105,-2591.9668415311335,-3.3088938402525105,104.997123718262,-115.80690192658699,70.0147247314453,0,-13060.270896487247,-16.672686250834786,-5402.1284057400535,-6.896334134987302,106.008445739746,-119.2819736891322,70.0147247314453,40.0,160.0,70.0,140.0,0.8318792247184534
onestep_50_012,PS-onestep-01.xlsx,12,single_step,50.0,0.4998,nan,nan,0.4998,10.0,106.013206481934,9959,30.0037860870361,197.027114868164,True,False,70.0,105.0,70.0,105.0,-3647.802471135775,-4.656769112088222,-2569.4887393604818,-3.280198390672955,104.984321594238,-114.62819844249634,70.0035247802734,0,-12904.749631424276,-16.47414846564801,-5341.123780537564,-6.818455890047954,106.013206481934,-117.93285474858999,70.0035247802734,40.0,160.0,70.0,140.0,0.8244715956626912
onestep_50_013,PS-onestep-01.xlsx,13,single_step,50.0,0.7979999999999999,nan,nan,0.7979999999999999,10.0,105.980941772461,9960,30.0070953369141,197.046157836914,True,False,70.0,105.0,70.0,105.0,-3624.5656031163553,-4.62710502525492,-2555.092519126618,-3.261820237182916,104.986099243164,-114.62072498989073,70.008918762207,0,-12866.857217705327,-16.425775171538714,-5326.617226982983,-6.799936885510189,105.980941772461,-117.56329198446952,70.008918762207,40.0,160.0,70.0,140.0,0.8192196288125758
onestep_50_014,PS-onestep-01.xlsx,14,single_step,50.0,1.0002,nan,nan,1.0002,10.0,106.0078125,9961,30.0054950714111,197.057495117188,True,False,70.0,105.0,70.0,105.0,-3583.40691502224,-4.574562019177327,-2525.6745087376175,-3.2242653303033415,104.996315002441,-112.81628610256462,70.0156860351563,0,-12747.583158962385,-16.27351041569666,-5272.444224351737,-6.730779860874557,106.0078125,-115.79028181337799,70.0156860351563,40.0,160.0,70.0,140.0,0.8099169953731691
onestep_50_015,PS-onestep-01.xlsx,15,single_step,50.0,4.998,nan,nan,4.998,10.0,106.025733947754,9962,30.0106792449951,197.069900512695,True,False,70.0,105.0,70.0,105.0,-3535.572761905848,-4.513497142858529,-2495.128749695302,-3.1852707442918744,104.997093200684,-111.46289569486976,70.0151138305664,0,-12562.59069337395,-16.037349821328444,-5200.844365876717,-6.639375786225596,106.025733947754,-114.49683654733417,70.0151138305664,40.0,160.0,70.0,140.0,0.7991055819649301
onestep_50_016,PS-onestep-01.xlsx,16,single_step,50.0,10.020000000000001,nan,nan,10.020000000000001,10.0,105.709396362305,9963,30.0105113983154,197.069641113281,True,False,70.0,105.0,70.0,105.0,-3501.548997980353,-4.470062550613216,-2468.644946492049,-3.1514616338196366,104.984321594238,-109.52724629405634,70.0156860351563,0,-12423.18653943298,-15.85938707161657,-5125.014267154282,-6.542571404877806,105.709396362305,-112.0001619227678,70.0156860351563,40.0,160.0,70.0,140.0,0.7914155748562476
onestep_50_017,PS-onestep-01.xlsx,17,single_step,50.0,49.98,nan,nan,49.98,10.0,105.959197998047,9964,30.00075340271,197.085830688477,True,False,70.0,105.0,70.0,105.0,-3477.5504083557976,-4.439426053220167,-2450.5707481297004,-3.128388189101745,104.998001098633,-109.56191873485977,70.0108337402344,0,-12375.576527788684,-15.798608333347257,-5104.326539126698,-6.516161539310677,105.959197998047,-112.08042091721768,70.0108337402344,40.0,160.0,70.0,140.0,0.7859914446743164
onestep_50_018,PS-onestep-01.xlsx,18,single_step,50.0,100.02,nan,nan,100.02,10.0,105.974555969238,9964,30.0031929016113,197.093780517578,True,False,70.0,105.0,70.0,105.0,-3443.1749618421736,-4.39554250447937,-2425.5475721961266,-3.0964437091865444,104.996315002441,-108.57299996975462,70.0146102905273,0,-12216.900165475101,-15.596042764436296,-5031.088887093807,-6.422666664375072,105.974555969238,-110.72067109344584,70.0146102905273,40.0,160.0,70.0,140.0,0.7782219507220078
onestep_50_019,PS-onestep-01.xlsx,19,single_step,50.0,499.98,nan,nan,499.98,10.0,106.041069030762,9965,30.0098247528076,197.107757568359,True,False,70.0,105.0,70.0,105.0,-3340.899729826215,-4.264978378501551,-2342.501225923319,-2.9904270969233857,104.995529174805,-103.79201845818989,70.0038681030273,0,-11908.368964788602,-15.20217314653864,-4857.798021005558,-6.201444282134755,106.041069030762,-106.30917803274087,70.0038681030273,40.0,160.0,70.0,140.0,0.7551058350868555
onestep_50_020,PS-onestep-01.xlsx,20,single_step,50.0,1000.0200000000001,nan,nan,1000.0200000000001,10.0,105.985069274902,9964,30.0029029846191,197.118789672852,True,False,70.0,105.0,70.0,105.0,-2902.4711316733465,-3.7052822957532077,-2025.9980375159312,-2.5863804734245925,104.989776611328,-93.00019587720271,70.0145797729492,0,-10422.681497060845,-13.305550847311716,-4279.581724742172,-5.463295818819793,105.985069274902,-95.9209298427545,70.0145797729492,40.0,160.0,70.0,140.0,0.656012770491528
