sample_id,source_file,cycle_id,mode,T1_C,t1_s,T2_C,t2_s,heating_rate_C_min,n_points,temp_min_C,temp_max_C,covers_arrt_peak_window,is_truncated,arrt_peak_temperature_Tp_C
twostep_90_to_80_006,twosteps.xlsx,6,two_step,90.0,49.98,80.0,10.020000000000001,10.0,9963,30.0036811828613,197.066848754883,True,False,105.391120910645
twostep_90_to_80_007,twosteps.xlsx,7,two_step,90.0,49.98,80.0,49.98,10.0,9964,30.0042591094971,197.107177734375,True,False,105.331726074219
twostep_90_to_80_008,twosteps.xlsx,8,two_step,90.0,49.98,80.0,100.02,10.0,9966,30.0108165740967,197.139297485352,True,False,105.267623901367
twostep_90_to_80_009,twosteps.xlsx,9,two_step,90.0,49.98,80.0,499.98,10.0,9968,30.0109081268311,197.180770874023,True,False,105.21361541748
twostep_90_to_80_010,twosteps.xlsx,10,two_step,90.0,49.98,80.0,1000.0200000000001,10.0,9970,30.0047016143799,197.214233398438,True,False,104.994537353516
twostep_90_to_80_011,twosteps.xlsx,11,two_step,90.0,499.98,80.0,0.1002,10.0,9971,30.0079040527344,197.234817504883,True,False,104.640869140625
twostep_90_to_80_012,twosteps.xlsx,12,two_step,90.0,499.98,80.0,0.4998,10.0,9974,30.0048847198486,197.276229858398,True,False,104.599571228027
twostep_90_to_80_013,twosteps.xlsx,13,two_step,90.0,499.98,80.0,0.7979999999999999,10.0,9976,30.0076446533203,197.313674926758,True,False,104.61026763916
twostep_90_to_80_014,twosteps.xlsx,14,two_step,90.0,499.98,80.0,1.0002,10.0,9978,30.0119438171387,197.351531982422,True,False,104.676567077637
twostep_90_to_80_015,twosteps.xlsx,15,two_step,90.0,499.98,80.0,4.998,10.0,9981,30.0115165710449,197.393966674805,True,False,104.521347045898
twostep_90_to_80_016,twosteps.xlsx,16,two_step,90.0,499.98,80.0,10.020000000000001,10.0,9985,30.0029487609863,197.424942016602,True,False,104.648193359375
twostep_90_to_80_017,twosteps.xlsx,17,two_step,90.0,499.98,80.0,49.98,10.0,9985,30.0033302307129,197.451354980469,True,False,104.625297546387
twostep_90_to_80_018,twosteps.xlsx,18,two_step,90.0,499.98,80.0,100.02,10.0,9987,30.0034217834473,197.484222412109,True,False,104.560684204102
twostep_90_to_80_019,twosteps.xlsx,19,two_step,90.0,499.98,80.0,499.98,10.0,9989,30.0053272247314,197.524078369141,True,False,104.51619720459
twostep_90_to_80_020,twosteps.xlsx,20,two_step,90.0,499.98,80.0,1000.0200000000001,10.0,9991,30.0041065216064,197.559768676758,True,False,104.342544555664
